Phage	MAGs	Link	Ratio	GTDB	Species	Genus	Family	Order
k141_346380	bin.99	375	10.111733809358071	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314195	Prevotella sp900314195	Prevotella	Bacteroidaceae	Bacteroidales
k141_512174	bin.97	266	0.7609010422708208	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_R	Ruminococcus flavefaciens_R	Ruminococcus	Ruminococcaceae	Oscillospirales
k141_600654	bin.93	83	3.331458722010173	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314455	Prevotella sp900314455	Prevotella	Bacteroidaceae	Bacteroidales
k141_633380	bin.92	26	2.075755368489594	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900317585	Agathobacter sp900317585	Agathobacter	Lachnospiraceae	Lachnospirales
k141_111919	bin.90	135	5.50426491368198	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella;s__	unknown	Catonella	Lachnospiraceae	Lachnospirales
k141_410106	bin.82	65	4.521929420392594	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia sp900319505	Bulleidia sp900319505	Bulleidia	Erysipelotrichaceae	Erysipelotrichales
k141_468667	bin.81	64	0.127402293040708	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1081;s__UBA1081 sp900314355	UBA1081 sp900314355	UBA1081	Acutalibacteraceae	Oscillospirales
k141_511974	bin.80	234	3.869385326720281	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA6398;s__UBA6398 sp900314335	UBA6398 sp900314335	UBA6398	Bacteroidaceae	Bacteroidales
k141_19229	bin.76	45	11.929896519518303	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__Succiniclasticum sp900316935	Succiniclasticum sp900316935	Succiniclasticum	Acidaminococcaceae	Acidaminococcales
k141_378918	bin.71	154	2.258213840923626	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp900314215	Sodaliphilus sp900314215	Sodaliphilus	Muribaculaceae	Bacteroidales
k141_307704	bin.7	18	0.7118871264795419	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp900317475	CAG-791 sp900317475	CAG-791	Lachnospiraceae	Lachnospirales
k141_473853	bin.69	17	4.990476842715326	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314915	Prevotella sp900314915	Prevotella	Bacteroidaceae	Bacteroidales
k141_114268	bin.68	69	0.3567971088546093	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RUG420;s__RUG420 sp900315285	RUG420 sp900315285	RUG420	Acutalibacteraceae	Oscillospirales
k141_25538	bin.64	24	3.649660340702948	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia timonensis	Bulleidia timonensis	Bulleidia	Erysipelotrichaceae	Erysipelotrichales
k141_373297	bin.61	448	1.43045080793983	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900316045	Cryptobacteroides sp900316045	Cryptobacteroides	UBA932	Bacteroidales
k141_670737	bin.60	19	0.3614360737680941	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__RUG024;s__RUG024 sp900314765	RUG024 sp900314765	RUG024	Selenomonadaceae	Selenomonadales
k141_302077	bin.58	655	12.802178239004707	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900316015	Prevotella sp900316015	Prevotella	Bacteroidaceae	Bacteroidales
k141_499620	bin.56	23	4.0837194912161126	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__UBA2882 sp900317505	UBA2882 sp900317505	UBA2882	Lachnospiraceae	Lachnospirales
k141_260063	bin.55	233	22.92249966427844	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp900315395	Succinivibrio sp900315395	Succinivibrio	Succinivibrionaceae	Enterobacterales
k141_604404	bin.51	15	7.985898669105589	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__UBA2813;s__UBA2813 sp900314375	UBA2813 sp900314375	UBA2813	Gastranaerophilaceae	Gastranaerophilales
k141_491733	bin.44	713	7.401512632179848	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Chordicoccus;s__Chordicoccus sp900313955	Chordicoccus sp900313955	Chordicoccus	Lachnospiraceae	Lachnospirales
k141_713558	bin.42	53	2.9263291064172963	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2912;s__UBA2912 sp900314775	UBA2912 sp900314775	UBA2912	Lachnospiraceae	Lachnospirales
k141_58206	bin.38	576	8.829048638143755	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp947163985	Prevotella sp947163985	Prevotella	Bacteroidaceae	Bacteroidales
k141_692086	bin.35	117	7.759497108691637	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella lacticifex	Prevotella lacticifex	Prevotella	Bacteroidaceae	Bacteroidales
k141_51103	bin.29	67	1.8577581245203143	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp900317555	CAG-791 sp900317555	CAG-791	Lachnospiraceae	Lachnospirales
k141_546823	bin.28	85	2.5211758230011387	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900314365	Prevotella sp900314365	Prevotella	Bacteroidaceae	Bacteroidales
k141_606847	bin.27	34	6.451842137967337	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola;s__Porcincola sp900318615	Porcincola sp900318615	Porcincola	Lachnospiraceae	Lachnospirales
