Phage	MAG	lambda	metrics
k141_346380	bin.99	0.1875	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_512174	bin.97	0.5	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_600654	bin.93	0.01171875	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_633380	bin.92	0.5	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_111919	bin.90	0.5	{'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'TP': 1, 'FP': 0, 'FN': 0}
k141_410106	bin.82	0.5	{'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'TP': 1, 'FP': 0, 'FN': 0}
k141_468667	bin.81	0.25	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_511974	bin.80	0.5	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_19229	bin.76	0.875	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_378918	bin.71	0.125	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_307704	bin.7	0.5	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 1, 'FN': 1}
k141_473853	bin.69	0.0625	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_114268	bin.68	0.125	{'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'TP': 1, 'FP': 0, 'FN': 0}
k141_25538	bin.64	0.875	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_373297	bin.61	0.5	{'precision': 1.0, 'recall': 1.0, 'f1': 1.0, 'TP': 1, 'FP': 0, 'FN': 0}
k141_670737	bin.60	0.5	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
