Phage	MAG	lambda	metrics
k141_148646	bin.98	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_162918	bin.97	0.023681640625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_15197	bin.95	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_8850	bin.94	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_238387	bin.93	0.0302734375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_199326	bin.92	0.0078125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_174127	bin.91	0.02911376953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_394698	bin.90	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_278712	bin.9	0.0078125	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_134557	bin.87	0.0234375	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_330972	bin.85	0.01171875	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_3605	bin.84	0.015625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_118838	bin.83	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_384266	bin.82	0.00390625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_215121	bin.80	0.0234375	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_135509	bin.79	0.0205078125	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_261893	bin.78	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_249925	bin.77	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_73931	bin.75	0.02392578125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_41913	bin.74	0.021484375	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_17708	bin.71	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_69345	bin.7	0.0234375	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_124056	bin.68	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_232050	bin.66	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_293832	bin.64	0.03125	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_159683	bin.63	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_284312	bin.62	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_163745	bin.61	0.015625	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_118899	bin.60	0.015625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
