Phage	MAG	lambda	metrics
k141_1679322	bin.98	0.01171875	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_2773726	bin.97	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_484884	bin.96	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_4183886	bin.95	0.015625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_5174406	bin.90	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_5990611	bin.87	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_3538031	bin.86	0.0234375	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_7939691	bin.84	0.015625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_861338	bin.82	0.017333984375	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_3766329	bin.80	0.03125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_6291854	bin.8	0.03125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_2539245	bin.79	0.025390625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_460778	bin.76	0.0078125	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_6063879	bin.74	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_3128305	bin.72	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_1131959	bin.70	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_3521604	bin.69	0.0107421875	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_2713049	bin.67	0.03125	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_4557271	bin.64	0.017578125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_3950689	bin.63	0.03125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_1244128	bin.56	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_7460692	bin.54	0.015625	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_6664611	bin.53	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_860716	bin.51	0.03125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_6219317	bin.50	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_2511568	bin.46	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_7879764	bin.45	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_7381067	bin.44	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_2694654	bin.43	0.01953125	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_6619424	bin.42	0.0078125	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_7481019	bin.40	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_2297665	bin.4	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_1246741	bin.39	0.021484375	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_1864643	bin.37	0.01953125	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_4555779	bin.36	0.02734375	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_5696709	bin.35	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_3596566	bin.33	0.03125	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_7670235	bin.31	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_2669388	bin.288	0.02734375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_430152	bin.283	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_5206212	bin.280	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_444951	bin.279	0.01123046875	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_1653301	bin.276	0.021484375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_1460922	bin.275	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_18994	bin.273	0.015625	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_1014237	bin.270	0.021484375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_5573826	bin.27	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_2346633	bin.269	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_6152904	bin.268	0.021484375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_7877493	bin.267	0.014404296875	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_4167849	bin.265	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_3679022	bin.264	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_3390516	bin.262	0.0234375	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_5662445	bin.261	0.009765625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_4617984	bin.260	0.025390625	{'precision': 0.2, 'recall': 1.0, 'f1': 0.33333333333333337, 'TP': 1, 'FP': 4, 'FN': 0}
k141_5387298	bin.257	0.01953125	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_7467409	bin.254	0.02734375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_3978248	bin.252	0.01171875	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_803786	bin.25	0.03125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_8102647	bin.238	0.01953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_111255	bin.237	0.015625	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_5607718	bin.236	0.0322265625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_8074398	bin.234	0.03125	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_643034	bin.231	0.015625	{'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'TP': 1, 'FP': 1, 'FN': 0}
k141_1462740	bin.23	0.015625	{'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'TP': 1, 'FP': 3, 'FN': 0}
k141_1598473	bin.226	0.0078125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_2498710	bin.225	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_3371556	bin.219	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_4381299	bin.218	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_1684119	bin.217	0.0234375	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 2, 'FN': 1}
k141_7242788	bin.213	0.015625	{'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'TP': 1, 'FP': 2, 'FN': 0}
k141_2386948	bin.212	0.02001953125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
k141_4985163	bin.210	0.0078125	{'precision': 0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 0, 'FN': 1}
k141_7898233	bin.209	0.0078125	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_3739853	bin.208	0.015625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 3, 'FN': 1}
k141_3574107	bin.206	0.025390625	{'precision': 0.0, 'recall': 0.0, 'f1': 0, 'TP': 0, 'FP': 4, 'FN': 1}
