Phage	MAGs	Link	Ratio	GTDB	Species	Genus	Family	Order
k141_148646	bin.98	4920	1.6601916304694448	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	UBA11524 sp000437595	UBA11524	Aristaeellaceae	Christensenellales
k141_162918	bin.97	1761	7.107432585693891	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	Roseburia inulinivorans	Roseburia	Lachnospiraceae	Lachnospirales
k141_15197	bin.95	11	12.957613856359384	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Alangreenwoodia;s__Alangreenwoodia sp905206455	Alangreenwoodia sp905206455	Alangreenwoodia	Anaerovoracaceae	Peptostreptococcales
k141_8850	bin.94	334	1.0139540574196169	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp003516765	CAG-170 sp003516765	CAG-170	Oscillospiraceae	Oscillospirales
k141_238387	bin.93	961	4.447627212984159	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp003491505	Eubacterium_F sp003491505	Eubacterium_F	Lachnospiraceae	Lachnospirales
k141_199326	bin.92	19	17.34980591784225	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__Flemingibacterium;s__Flemingibacterium sp900546315	Flemingibacterium sp900546315	Flemingibacterium	CAG-272	Oscillospirales
k141_174127	bin.91	17	36.751512699193874	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A hominis	Alistipes_A hominis	Alistipes_A	Rikenellaceae	Bacteroidales
k141_394698	bin.90	268	0.6570995376261417	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000433975	Eubacterium_R sp000433975	Eubacterium_R	Acutalibacteraceae	Oscillospirales
k141_278712	bin.9	114	4.790219625876994	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	unknown	Collinsella	Coriobacteriaceae	Coriobacteriales
k141_134557	bin.87	21	1.970475447130122	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	Blautia_A faecis	Blautia_A	Lachnospiraceae	Lachnospirales
