AssocID,Host,HostClass,HostOrder,HostFamily,HostGenus,HostTaxID,HostNCBIResolved,Virus,VirusClass,VirusOrder,VirusFamily,VirusGenus,VirusTaxID,VirusNCBIResolved,ICTVRatified,PublicationYear,ReleaseYear,ReferenceText,PMID,NCBIAccession,Database,DatabaseVersion,DatabaseDOI,DetectionMethod,Detection_NotSpecified,Detection_Serology,Detection_Genetic,Detection_Isolation,HostOriginal,VirusOriginal,DetectionMethodOriginal
173378,chaerephon plicatus,mammalia,chiroptera,molossidae,chaerephon,478698,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,2013,,"Yang L, 2013, Emerg Infect Dis, 19",23739658,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,chaerephon plicatus,severe acute respiratory syndrome-related coronavirus,Isolation
173379,chaerephon plicatus,mammalia,chiroptera,molossidae,chaerephon,478698,TRUE,severe acute respiratory syndrome-related coronavirus,pisoniviricetes,nidovirales,coronaviridae,betacoronavirus,694009,TRUE,TRUE,,,ViPR,,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,chaerephon plicatus,severe acute respiratory syndrome-related coronavirus,Isolation
179586,hipposideros abae,mammalia,chiroptera,hipposideridae,hipposideros,249020,TRUE,human coronavirus 229e,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,11137,TRUE,TRUE,2015,,"Corman VM, 2015, J Virol, 89",26378164,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,hipposideros abae,human coronavirus 229e,Isolation
179587,hipposideros abae,mammalia,chiroptera,hipposideridae,hipposideros,249020,TRUE,human coronavirus 229e,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,11137,TRUE,TRUE,,,ViPR,,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,hipposideros abae,human coronavirus 229e,Isolation
179606,hipposideros caffer,mammalia,chiroptera,hipposideridae,hipposideros,302402,TRUE,human coronavirus 229e,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,11137,TRUE,TRUE,2009,,"Pfefferle S, 2009, Emerg Infect Dis, 15",19788804,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,hipposideros caffer,human coronavirus 229e,PCR
179621,hipposideros crumeniferus,mammalia,chiroptera,hipposideridae,hipposideros,,FALSE,human coronavirus 229e,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,11137,TRUE,TRUE,2015,,"Corman VM, 2015, J Virol, 89",26378164,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,hipposideros crumeniferus,human coronavirus 229e,Isolation
179622,hipposideros crumeniferus,mammalia,chiroptera,hipposideridae,hipposideros,,FALSE,human coronavirus 229e,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,11137,TRUE,TRUE,,,ViPR,,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,Isolation/Observation,FALSE,FALSE,FALSE,TRUE,hipposideros crumeniferus,human coronavirus 229e,Isolation
200721,miniopterus magnater,mammalia,chiroptera,vespertilionidae,miniopterus,438766,TRUE,miniopterus bat coronavirus 1,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,694000,TRUE,TRUE,2008,,"Chu DKW, 2008, J Gen Virol, 89",18420807,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,miniopterus magnater,miniopterus bat coronavirus 1,PCR
200722,miniopterus magnater,mammalia,chiroptera,vespertilionidae,miniopterus,438766,TRUE,miniopterus bat coronavirus hku8,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,694001,TRUE,TRUE,2008,,"Chu DKW, 2008, J Gen Virol, 89",18420807,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,miniopterus magnater,miniopterus bat coronavirus hku8,PCR
200723,miniopterus magnater,mammalia,chiroptera,vespertilionidae,miniopterus,438766,TRUE,miniopterus bat coronavirus hku8,pisoniviricetes,nidovirales,coronaviridae,alphacoronavirus,694001,TRUE,TRUE,2006,,"Chu DKW, 2006, J Gen Virol, 87",16894183,,Shaw,Shaw et al. 2020 Mol Ecol,https://doi.org/10.1111/mec.15463,PCR/Sequencing,FALSE,FALSE,TRUE,FALSE,miniopterus magnater,miniopterus bat coronavirus hku8,PCR
