seed,beta,clock,precision,recall,f1,TP,FP,FN
20,4,0.5,0.821917808219178,0.8130081300813008,0.8174386920980926,300,65,69
20,0,0.1,0.7460815047021944,0.5734939759036145,0.6485013623978202,238,81,177
20,1,0.1,0.7718446601941747,0.8238341968911918,0.7969924812030076,318,94,68
20,4,0.1,0.7510729613733905,0.6386861313868614,0.6903353057199211,175,58,99
20,1,1.0,0.8225806451612904,0.8225806451612904,0.8225806451612904,306,66,66
20,0,0.5,0.8307692307692308,0.7049608355091384,0.7627118644067796,270,55,113
20,1,0.5,0.8614958448753463,0.852054794520548,0.8567493112947658,311,50,54
20,0,1.0,0.7928388746803069,0.8310991957104558,0.8115183246073298,310,81,63
20,4,1.0,0.8516320474777448,0.8318840579710145,0.841642228739003,287,50,58
9,4,0.5,0.5507246376811594,0.5507246376811594,0.5507246376811594,38,31,31
9,0,0.1,0.6568627450980392,0.5677966101694916,0.609090909090909,67,35,51
9,1,0.1,0.5754716981132075,0.6039603960396039,0.5893719806763285,61,45,40
9,4,0.1,0.65,0.6914893617021277,0.6701030927835052,65,35,29
9,0,0.5,0.3157894736842105,0.35294117647058826,0.33333333333333337,24,52,44
9,0,1.0,0.5806451612903226,0.3673469387755102,0.45,18,13,31
42,4,0.5,0.64,0.64,0.64,16,9,9
42,0,0.1,0.5958904109589042,0.514792899408284,0.5523809523809523,87,59,82
42,1,0.1,0.5675675675675675,0.5833333333333334,0.5753424657534246,84,64,60
42,4,0.1,0.549618320610687,0.6050420168067226,0.576,72,59,47
42,1,1.0,0.8695652173913043,0.8695652173913043,0.8695652173913043,20,3,3
42,0,0.5,0.7916666666666666,0.76,0.7755102040816326,19,5,6
42,1,0.5,0.7647058823529411,0.7222222222222222,0.7428571428571428,13,4,5
42,0,1.0,0.85,0.85,0.85,17,3,3
42,4,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,21,6,6
75,0,0.1,0.6990291262135923,0.4426229508196721,0.5420326223337516,216,93,272
75,1,0.1,0.702523240371846,1.0,0.8252730109204368,529,224,0
75,4,0.1,0.6025806451612903,1.0,0.7520128824476651,467,308,0
75,1,0.5,0.6597812879708383,1.0,0.79502196193265,543,280,0
119,4,0.5,0.47398843930635837,0.47398843930635837,0.47398843930635837,82,91,91
119,0,0.1,0.4264705882352941,0.5829145728643216,0.49256900212314225,116,156,83
119,4,0.1,0.5388888888888889,0.5025906735751295,0.5201072386058981,97,83,96
119,1,1.0,0.4838709677419355,0.4712041884816754,0.4774535809018568,90,96,101
119,0,0.5,0.42081447963800905,0.5375722543352601,0.47208121827411165,93,128,80
119,1,0.5,0.3915343915343915,0.3854166666666667,0.3884514435695538,74,115,118
119,0,1.0,0.35185185185185186,0.4245810055865922,0.3848101265822785,76,140,103
119,4,1.0,0.4011627906976744,0.42592592592592593,0.4131736526946108,69,103,93
86,4,0.5,0.6428571428571429,0.6428571428571429,0.6428571428571429,72,40,40
86,0,0.1,0.6111111111111112,0.24444444444444444,0.3492063492063492,33,21,102
86,1,0.1,0.5271966527196653,0.5454545454545454,0.5361702127659573,126,113,105
86,4,0.1,0.6139240506329114,0.6298701298701299,0.6217948717948719,97,61,57
86,1,1.0,0.648,0.648,0.648,81,44,44
86,0,0.5,0.674074074074074,0.6791044776119403,0.6765799256505576,91,44,43
86,1,0.5,0.6033057851239669,0.5983606557377049,0.6008230452674896,73,48,49
86,0,1.0,0.6556291390728477,0.6556291390728477,0.6556291390728477,99,52,52
86,4,1.0,0.5855855855855856,0.5803571428571429,0.5829596412556054,65,46,47
31,4,0.5,0.5055555555555555,0.2861635220125786,0.36546184738955817,91,89,227
31,0,0.1,0.46568627450980393,0.6959706959706959,0.5580029368575625,190,218,83
31,1,0.1,0.6690140845070423,0.2818991097922849,0.3966597077244259,95,47,242
31,4,0.1,0.5420560747663551,0.6062717770034843,0.5723684210526316,174,147,113
31,1,1.0,0.45495495495495497,0.3482758620689655,0.39453125,101,121,189
31,0,0.5,0.4081081081081081,0.7783505154639175,0.5354609929078015,151,219,43
31,0,1.0,0.7,0.02348993288590604,0.045454545454545456,7,3,291
31,4,1.0,0.519774011299435,0.7479674796747967,0.6133333333333334,92,85,31
53,4,0.5,0.7790697674418605,0.7701149425287356,0.7745664739884394,134,38,40
53,0,0.1,0.6944444444444444,0.6550218340611353,0.6741573033707865,150,66,79
53,1,0.1,0.7236180904522613,0.6990291262135923,0.7111111111111111,144,55,62
53,4,0.1,0.518348623853211,0.6141304347826086,0.562189054726368,113,105,71
53,1,1.0,0.6866952789699571,0.6639004149377593,0.6751054852320675,160,73,81
53,0,0.5,0.7555555555555555,0.7589285714285714,0.7572383073496659,170,55,54
53,1,0.5,0.7966101694915254,0.8068669527896996,0.8017057569296374,188,48,45
53,0,1.0,0.7548076923076923,0.7584541062801933,0.7566265060240964,157,51,50
53,4,1.0,0.7192982456140351,0.7068965517241379,0.7130434782608696,123,48,51
163,4,0.5,0.5833333333333334,0.04294478527607362,0.08,7,5,156
163,0,0.1,0.8492063492063492,0.4053030303030303,0.5487179487179487,107,19,157
163,1,0.1,0.8055555555555556,0.5087719298245614,0.6236559139784946,116,28,112
163,4,0.1,0.78,0.6215139442231076,0.6917960088691796,156,44,95
163,0,0.5,1.0,0.02702702702702703,0.052631578947368425,4,0,144
163,1,0.5,0.27555555555555555,0.45925925925925926,0.34444444444444444,62,163,73
163,0,1.0,0.7142857142857143,0.03597122302158273,0.0684931506849315,5,2,134
152,4,0.5,0.7697841726618705,0.7588652482269503,0.7642857142857142,107,32,34
152,0,0.1,0.5986394557823129,0.5751633986928104,0.5866666666666667,88,59,65
152,1,0.1,0.717948717948718,0.6363636363636364,0.674698795180723,84,33,48
152,4,0.1,0.5874125874125874,0.6086956521739131,0.597864768683274,84,59,54
152,1,1.0,0.7142857142857143,0.6962025316455697,0.7051282051282052,110,44,48
152,0,0.5,0.7300613496932515,0.7300613496932515,0.7300613496932515,119,44,44
152,1,0.5,0.7226277372262774,0.7333333333333333,0.7279411764705882,99,38,36
152,0,1.0,0.6503067484662577,0.654320987654321,0.6523076923076924,106,57,56
152,4,1.0,0.7266187050359713,0.7214285714285714,0.7240143369175627,101,38,39
97,4,0.5,0.7764227642276422,0.7860082304526749,0.7811860940695295,191,55,52
97,0,0.1,0.7806451612903226,0.7882736156351792,0.7844408427876823,242,68,65
97,1,0.1,0.744408945686901,0.8062283737024222,0.7740863787375417,233,80,56
97,4,0.1,0.8044280442804428,0.7465753424657534,0.7744227353463587,218,53,74
97,1,1.0,0.7584745762711864,0.7552742616033755,0.7568710359408034,179,57,58
97,0,0.5,0.7866666666666666,0.7729257641921398,0.7797356828193832,177,48,52
97,1,0.5,0.8022813688212928,0.8022813688212928,0.8022813688212926,211,52,52
97,0,1.0,0.7786561264822134,0.7635658914728682,0.7710371819960862,197,56,61
97,4,1.0,0.7844036697247706,0.7844036697247706,0.7844036697247706,171,47,47
130,0,0.1,0.6744186046511628,0.10357142857142858,0.17956656346749225,29,14,251
130,1,0.1,0.4672897196261682,0.35587188612099646,0.4040404040404041,100,114,181
130,4,0.1,0.4701492537313433,0.46494464944649444,0.4675324675324675,126,142,145
64,4,0.5,0.9534883720930233,0.9371428571428572,0.9452449567723343,164,8,11
64,0,0.1,0.9360902255639098,0.9613899613899614,0.9485714285714286,249,17,10
64,1,0.1,0.9372384937238494,1.0,0.9676025917926566,224,15,0
64,4,0.1,0.9727626459143969,0.9689922480620154,0.9708737864077669,250,7,8
64,1,1.0,1.0,1.0,1.0,191,0,0
64,0,0.5,1.0,1.0,1.0,225,0,0
64,1,0.5,1.0,1.0,1.0,194,0,0
64,0,1.0,0.9951456310679612,1.0,0.9975669099756691,205,1,0
64,4,1.0,1.0,1.0,1.0,162,0,0
141,4,0.5,0.5,0.049586776859504134,0.09022556390977443,12,12,230
141,0,0.1,0.4596949891067538,0.6133720930232558,0.5255292652552926,211,248,133
141,1,0.1,0.4756756756756757,0.2838709677419355,0.3555555555555555,88,97,222
141,4,0.1,0.5,0.36335403726708076,0.42086330935251803,117,117,205
141,1,1.0,0.41509433962264153,0.2732919254658385,0.3295880149812735,44,62,117
141,4,1.0,0.45217391304347826,0.4094488188976378,0.4297520661157025,104,126,150
