seed,beta,clock,precision,recall,f1,TP,FP,FN
20,4,0.5,0.9693555655700766,0.5304562268803946,0.6856869620656678,2151,68,1904
20,0,0.1,0.6948406040268457,0.37712009106431416,0.48889544750239805,3313,1455,5472
20,1,0.1,0.5943665999428082,0.46472889882615986,0.5216136520484347,4157,2837,4788
20,4,0.1,0.722397476340694,0.4642087926010389,0.5652140377940609,3664,1408,4229
20,1,1.0,0.8695138752214131,0.5534953645702831,0.6764142999311031,4418,663,3564
20,0,0.5,0.759941089837997,0.500646830530401,0.6036264379021252,4644,1467,4632
20,1,0.5,0.8742927864214993,0.5137662337662338,0.6472089522936981,4945,711,4680
20,0,1.0,0.8136842105263158,0.3062902426944032,0.4450521770421015,3092,708,7003
20,4,1.0,0.9795197740112994,0.41689209498046287,0.5848619017499472,1387,29,1940
9,0,0.5,0.32863663425282796,0.5354025218234724,0.4072798819478603,1656,3383,1437
9,0,1.0,0.31845365228534817,0.5141379310344828,0.3932999208652071,1491,3191,1409
42,4,0.5,0.5857142857142857,0.6456692913385826,0.6142322097378278,328,232,180
42,1,0.1,0.5729464650592563,0.38825810024923846,0.46285902938263457,2804,2090,4418
42,4,0.1,0.5679301533219762,0.4403169886082219,0.496047614619176,2667,2029,3390
42,1,1.0,0.5537583254043768,0.9864406779661017,0.7093235831809871,582,469,8
42,0,0.5,0.4622202526035896,0.6879947229551451,0.5529489728296885,2086,2427,946
42,1,0.5,0.49853450572875035,0.668453018935334,0.5711233211233212,1871,1882,928
42,0,1.0,0.7334410339256866,0.6202185792349727,0.6720947446336047,908,330,556
42,4,1.0,0.45622119815668205,0.5657142857142857,0.5051020408163265,99,118,76
75,4,0.5,0.8975602586713698,0.41728732490604714,0.5697094080880638,6107,697,8528
75,0,0.1,0.5737704918032787,0.3292709001496686,0.4184214101344926,3080,2288,6274
75,1,0.1,0.6110154905335629,0.37566137566137564,0.46526867627785057,3550,2260,5900
75,0,0.5,0.7521981738248225,0.5969538378958669,0.665644171779141,8897,2931,6007
75,4,1.0,0.9560368861248123,0.36196817148424815,0.5251192649743801,4458,205,7858
119,4,0.5,0.889266304347826,0.6239275500476644,0.7333333333333333,1309,163,789
119,0,0.1,0.4998701635938717,0.3037235721047649,0.3778584748257925,1925,1926,4413
119,1,0.1,0.44336654431043526,0.30628509328020287,0.36229244777718267,1691,2123,3830
119,4,0.1,0.5714811407543698,0.5938814531548757,0.5824660103141116,3106,2329,2124
119,1,1.0,0.5786336542870243,0.585479007190907,0.5820362043122332,2524,1838,1787
119,0,0.5,0.3860127157129882,0.3953488372093023,0.390625,2125,3380,3250
119,1,0.5,0.4785131459655485,0.49867724867724866,0.4883871564726566,2639,2876,2653
119,0,1.0,0.4203571428571429,0.46211228896741263,0.4402468674022817,2354,3246,2740
119,4,1.0,0.8952830188679245,0.9063992359121299,0.9008068343616515,949,111,98
86,4,0.5,0.764808362369338,1.0,0.8667324777887463,439,135,0
86,0,0.1,0.4735820895522388,0.4933146766169154,0.4832470301553457,3173,3527,3259
86,4,0.1,0.4906021025804396,0.7567567567567568,0.5952841128720525,1540,1599,495
86,1,1.0,0.7147323173114498,0.5834130781499203,0.6424306287319985,1829,730,1306
86,0,0.5,0.3996101364522417,0.5710306406685237,0.47018348623853207,2050,3080,1540
86,1,0.5,0.6148289781176971,0.8270934552729351,0.7053375578844748,2894,1813,605
86,0,1.0,0.6115107913669064,0.676033934252386,0.6421556283052128,2550,1620,1222
86,4,1.0,0.8497695852534562,0.6097883597883598,0.7100500577589526,922,163,590
31,4,0.5,0.8344248874334834,0.5555252759231503,0.6669938650306748,4077,809,3262
31,0,0.1,0.46942027209216813,0.5139559849704777,0.490679648965473,3830,4329,3622
31,1,0.1,0.4870950750592573,0.46704545454545454,0.4768596106742297,3699,3895,4221
31,4,0.1,0.5545691906005222,0.5241855873642646,0.5389495052017255,4248,3412,3856
31,1,1.0,0.5944298184841347,0.4615881213686249,0.5196535642904729,4290,2927,5004
31,0,0.5,0.4522455940875497,0.42432324309907987,0.4378396972824217,3182,3854,4317
31,1,0.5,0.5884599919581825,0.3218605674070816,0.41612169462610177,2927,2047,6167
31,0,1.0,0.5060869565217392,0.3738175872941726,0.4300107469102633,3201,3124,5362
31,4,1.0,0.8976553777446967,0.46277820414428245,0.6107102164830992,2412,275,2800
53,4,0.5,0.8644179894179894,0.6752777060191165,0.7582306018854242,2614,410,1257
53,0,0.1,0.49464627151051627,0.3975107559926245,0.4407905946498552,2587,2643,3921
53,1,0.1,0.5099543378995434,0.4535412605588044,0.4800962943856934,2792,2683,3364
53,4,0.1,0.49701544943820225,0.6413683733574989,0.5600395647873393,2831,2865,1583
