seed,beta,clock,precision,recall,f1,TP,FP,FN
20,4,0.5,0.8295454545454546,0.7913279132791328,0.8099861303744799,292,60,77
20,0,0.1,0.7460815047021944,0.5734939759036145,0.6485013623978202,238,81,177
20,1,0.1,0.7718446601941747,0.8238341968911918,0.7969924812030076,318,94,68
20,4,0.1,0.7489361702127659,0.6423357664233577,0.6915520628683693,176,59,98
20,1,1.0,0.824468085106383,0.8333333333333334,0.8288770053475938,310,66,62
20,0,0.5,0.8318042813455657,0.7101827676240209,0.7661971830985915,272,55,111
20,1,0.5,0.8614958448753463,0.852054794520548,0.8567493112947658,311,50,54
20,0,1.0,0.7928388746803069,0.8310991957104558,0.8115183246073298,310,81,63
20,4,1.0,0.8486646884272997,0.8289855072463768,0.8387096774193549,286,51,59
9,4,0.5,0.5507246376811594,0.5507246376811594,0.5507246376811594,38,31,31
9,0,0.1,0.6568627450980392,0.5677966101694916,0.609090909090909,67,35,51
9,1,0.1,0.5871559633027523,0.6336633663366337,0.6095238095238095,64,45,37
9,4,0.1,0.6530612244897959,0.6808510638297872,0.6666666666666666,64,34,30
9,0,1.0,0.5555555555555556,0.30612244897959184,0.3947368421052632,15,12,34
9,4,1.0,0.6363636363636364,0.17073170731707318,0.2692307692307692,7,4,34
42,4,0.5,0.64,0.64,0.64,16,9,9
42,0,0.1,0.5524861878453039,0.591715976331361,0.5714285714285714,100,81,69
42,1,0.1,0.5914634146341463,0.6736111111111112,0.6298701298701299,97,67,47
42,4,0.1,0.6,0.6050420168067226,0.602510460251046,72,48,47
42,1,1.0,0.8695652173913043,0.8695652173913043,0.8695652173913043,20,3,3
42,0,0.5,0.7916666666666666,0.76,0.7755102040816326,19,5,6
42,1,0.5,0.7647058823529411,0.7222222222222222,0.7428571428571428,13,4,5
42,0,1.0,0.85,0.85,0.85,17,3,3
42,4,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,21,6,6
75,0,0.1,0.6990291262135923,0.4426229508196721,0.5420326223337516,216,93,272
75,1,0.1,0.702523240371846,1.0,0.8252730109204368,529,224,0
75,4,0.1,0.6025806451612903,1.0,0.7520128824476651,467,308,0
75,1,0.5,0.6597812879708383,1.0,0.79502196193265,543,280,0
75,4,1.0,1.0,0.004784688995215311,0.009523809523809525,1,0,208
119,4,0.5,0.47398843930635837,0.47398843930635837,0.47398843930635837,82,91,91
119,0,0.1,0.4264705882352941,0.5829145728643216,0.49256900212314225,116,156,83
119,4,0.1,0.5388888888888889,0.5025906735751295,0.5201072386058981,97,83,96
119,1,1.0,0.4838709677419355,0.4712041884816754,0.4774535809018568,90,96,101
119,0,0.5,0.41081081081081083,0.4393063583815029,0.4245810055865922,76,109,97
119,1,0.5,0.3967391304347826,0.3802083333333333,0.38829787234042545,73,111,119
119,0,1.0,0.34299516908212563,0.39664804469273746,0.36787564766839376,71,136,108
119,4,1.0,0.3891891891891892,0.4444444444444444,0.414985590778098,72,113,90
86,4,0.5,0.6936936936936937,0.6875,0.6905829596412556,77,34,35
86,0,0.1,0.6290322580645161,0.28888888888888886,0.3959390862944162,39,23,96
86,1,0.1,0.6054054054054054,0.48484848484848486,0.5384615384615385,112,73,119
86,4,0.1,0.6139240506329114,0.6298701298701299,0.6217948717948719,97,61,57
86,1,1.0,0.648,0.648,0.648,81,44,44
86,0,0.5,0.6764705882352942,0.6865671641791045,0.6814814814814815,92,44,42
86,1,0.5,0.6033057851239669,0.5983606557377049,0.6008230452674896,73,48,49
86,0,1.0,0.6513157894736842,0.6556291390728477,0.6534653465346535,99,53,52
86,4,1.0,0.6071428571428571,0.6071428571428571,0.6071428571428571,68,44,44
31,4,0.5,0.5055555555555555,0.2861635220125786,0.36546184738955817,91,89,227
31,0,0.1,0.4669926650366748,0.6996336996336996,0.560117302052786,191,218,82
31,1,0.1,1.0,0.017804154302670624,0.03498542274052478,6,0,331
31,4,0.1,0.5420560747663551,0.6062717770034843,0.5723684210526316,174,147,113
31,1,1.0,0.45495495495495497,0.3482758620689655,0.39453125,101,121,189
31,0,0.5,0.4081081081081081,0.7783505154639175,0.5354609929078015,151,219,43
31,1,0.5,0.6,0.00949367088607595,0.018691588785046728,3,2,313
31,0,1.0,0.75,0.020134228187919462,0.0392156862745098,6,2,292
31,4,1.0,0.4767932489451477,0.9186991869918699,0.6277777777777778,113,124,10
53,4,0.5,0.8033707865168539,0.8218390804597702,0.8125,143,35,31
53,0,0.1,0.7085427135678392,0.6157205240174672,0.6588785046728972,141,58,88
53,1,0.1,0.7419354838709677,0.7815533980582524,0.7612293144208038,161,56,45
53,4,0.1,0.5777777777777777,0.7065217391304348,0.6356968215158924,130,95,54
53,1,1.0,0.6890756302521008,0.6804979253112033,0.6847599164926931,164,74,77
53,0,0.5,0.730593607305936,0.7142857142857143,0.7223476297968396,160,59,64
53,1,0.5,0.7991452991452992,0.8025751072961373,0.8008565310492505,187,47,46
53,0,1.0,0.7439613526570048,0.7439613526570048,0.7439613526570048,154,53,53
53,4,1.0,0.7150837988826816,0.735632183908046,0.7252124645892352,128,51,46
163,4,0.5,0.6,0.018404907975460124,0.03571428571428572,3,2,160
163,0,0.1,0.8492063492063492,0.4053030303030303,0.5487179487179487,107,19,157
163,1,0.1,0.8333333333333334,0.5043859649122807,0.6284153005464481,115,23,113
163,4,0.1,0.8125,0.5697211155378487,0.6697892271662764,143,33,108
163,0,0.5,1.0,0.02702702702702703,0.052631578947368425,4,0,144
163,1,0.5,0.2775330396475771,0.4666666666666667,0.3480662983425414,63,164,72
163,0,1.0,0.6666666666666666,0.02877697841726619,0.05517241379310344,4,2,135
152,4,0.5,0.7536231884057971,0.7375886524822695,0.7455197132616487,104,34,37
152,0,0.1,0.5986394557823129,0.5751633986928104,0.5866666666666667,88,59,65
152,1,0.1,0.7272727272727273,0.6666666666666666,0.6956521739130435,88,33,44
152,4,0.1,0.6595744680851063,0.6739130434782609,0.6666666666666667,93,48,45
152,1,1.0,0.7215189873417721,0.7215189873417721,0.7215189873417721,114,44,44
152,0,0.5,0.7283950617283951,0.7239263803680982,0.7261538461538461,118,44,45
152,1,0.5,0.7089552238805971,0.7037037037037037,0.7063197026022304,95,39,40
152,0,1.0,0.654320987654321,0.654320987654321,0.654320987654321,106,56,56
152,4,1.0,0.7714285714285715,0.7714285714285715,0.7714285714285715,108,32,32
97,4,0.5,0.7707509881422925,0.8024691358024691,0.7862903225806452,195,58,48
97,0,0.1,0.7854785478547854,0.7752442996742671,0.7803278688524591,238,65,69
97,1,0.1,0.744408945686901,0.8062283737024222,0.7740863787375417,233,80,56
97,4,0.1,0.8065693430656934,0.7568493150684932,0.7809187279151943,221,53,71
97,1,1.0,0.7584745762711864,0.7552742616033755,0.7568710359408034,179,57,58
97,0,0.5,0.7866666666666666,0.7729257641921398,0.7797356828193832,177,48,52
97,1,0.5,0.8022813688212928,0.8022813688212928,0.8022813688212926,211,52,52
97,0,1.0,0.77431906614786,0.7713178294573644,0.7728155339805826,199,58,59
97,4,1.0,0.7824074074074074,0.7752293577981652,0.7788018433179723,169,47,49
130,0,0.1,0.6888888888888889,0.11071428571428571,0.19076923076923075,31,14,249
130,1,0.1,0.4672897196261682,0.35587188612099646,0.4040404040404041,100,114,181
130,4,0.1,0.46715328467153283,0.47232472324723246,0.46972477064220186,128,146,143
64,4,0.5,0.9534883720930233,0.9371428571428572,0.9452449567723343,164,8,11
64,0,0.1,0.9348659003831418,0.9420849420849421,0.9384615384615385,244,17,15
64,1,0.1,0.9289099526066351,0.875,0.9011494252873563,196,15,28
64,4,0.1,0.9727626459143969,0.9689922480620154,0.9708737864077669,250,7,8
64,1,1.0,1.0,1.0,1.0,191,0,0
64,0,0.5,1.0,1.0,1.0,225,0,0
