seed,corrupt,r01,r10,precision,recall,f1,TP,FP,FN
9,100,0.3,0.6,0.7557251908396947,0.99,0.8571428571428572,99,32,1
9,100,0.3,0.7,0.6875,0.99,0.8114754098360656,99,45,1
9,100,0.4,0.5,0.8181818181818182,0.99,0.8959276018099549,99,22,1
9,100,0.5,0.7,0.7443609022556391,0.99,0.8497854077253219,99,34,1
9,100,0.5,0.6,0.7795275590551181,0.99,0.8722466960352423,99,28,1
9,100,0.4,0.4,0.8584070796460177,0.97,0.9107981220657277,97,16,3
9,100,0.4,0.3,0.9509803921568627,0.97,0.9603960396039604,97,5,3
9,100,0.6,0.3,0.9509803921568627,0.97,0.9603960396039604,97,5,3
9,100,0.6,0.4,0.8,0.96,0.8727272727272728,96,24,4
9,100,0.7,0.6,0.8,0.96,0.8727272727272728,96,24,4
9,100,0.7,0.7,0.7637795275590551,0.97,0.8546255506607929,97,30,3
9,100,0.6,0.5,0.8347826086956521,0.96,0.8930232558139534,96,19,4
9,100,0.3,0.5,0.7795275590551181,0.99,0.8722466960352423,99,28,1
9,100,0.3,0.4,0.8389830508474576,0.99,0.9082568807339448,99,19,1
9,100,0.3,0.3,0.9514563106796117,0.98,0.9655172413793104,98,5,2
9,100,0.4,0.6,0.7674418604651163,0.99,0.8646288209606987,99,30,1
9,100,0.5,0.3,0.9504950495049505,0.96,0.9552238805970149,96,5,4
9,100,0.5,0.4,0.8571428571428571,0.96,0.9056603773584904,96,16,4
9,100,0.5,0.5,0.7716535433070866,0.98,0.8634361233480176,98,29,2
9,100,0.4,0.7,0.6644295302013423,0.99,0.7951807228915664,99,50,1
9,100,0.6,0.7,0.75,0.99,0.853448275862069,99,33,1
9,100,0.7,0.5,0.8421052631578947,0.96,0.8971962616822429,96,18,4
9,100,0.7,0.4,0.8785046728971962,0.94,0.9082125603864735,94,13,6
9,100,0.7,0.3,0.9504950495049505,0.96,0.9552238805970149,96,5,4
9,100,0.6,0.6,0.8016528925619835,0.97,0.8778280542986425,97,24,3
9,10,0.3,0.7,0.18181818181818182,1.0,0.3076923076923077,10,45,0
9,10,0.4,0.5,0.18181818181818182,1.0,0.3076923076923077,10,45,0
9,10,0.5,0.7,0.22727272727272727,1.0,0.37037037037037035,10,34,0
9,10,0.4,0.4,0.20833333333333334,1.0,0.3448275862068966,10,38,0
9,10,0.4,0.3,0.6428571428571429,0.9,0.75,9,5,1
9,10,0.6,0.3,0.6428571428571429,0.9,0.75,9,5,1
9,10,0.6,0.4,0.2647058823529412,0.9,0.40909090909090906,9,25,1
9,10,0.7,0.6,0.18181818181818182,1.0,0.3076923076923077,10,45,0
9,10,0.6,0.5,0.2,1.0,0.33333333333333337,10,40,0
9,10,0.3,0.4,0.19230769230769232,1.0,0.32258064516129037,10,42,0
9,10,0.3,0.3,0.6666666666666666,1.0,0.8,10,5,0
9,10,0.5,0.3,0.6428571428571429,0.9,0.75,9,5,1
9,10,0.5,0.4,0.2127659574468085,1.0,0.3508771929824561,10,37,0
9,10,0.5,0.5,0.19607843137254902,1.0,0.3278688524590164,10,41,0
9,10,0.4,0.7,0.20408163265306123,1.0,0.3389830508474576,10,39,0
9,10,0.6,0.7,0.23255813953488372,1.0,0.37735849056603776,10,33,0
9,10,0.7,0.5,0.24324324324324326,0.9,0.3829787234042553,9,28,1
9,10,0.7,0.3,0.6923076923076923,0.9,0.7826086956521738,9,4,1
9,10,0.6,0.6,0.17857142857142858,1.0,0.30303030303030304,10,46,0
9,50,0.3,0.6,0.6097560975609756,1.0,0.7575757575757575,50,32,0
9,50,0.3,0.7,0.5263157894736842,1.0,0.6896551724137931,50,45,0
9,50,0.4,0.5,0.6944444444444444,1.0,0.819672131147541,50,22,0
9,50,0.5,0.7,0.5952380952380952,1.0,0.7462686567164178,50,34,0
9,50,0.5,0.6,0.6410256410256411,1.0,0.7812500000000001,50,28,0
9,50,0.4,0.4,0.6486486486486487,0.96,0.7741935483870968,48,26,2
9,50,0.4,0.3,0.9074074074074074,0.98,0.9423076923076924,49,5,1
9,50,0.6,0.3,0.9074074074074074,0.98,0.9423076923076924,49,5,1
9,50,0.6,0.4,0.6527777777777778,0.94,0.7704918032786886,47,25,3
9,50,0.7,0.6,0.5465116279069767,0.94,0.6911764705882352,47,39,3
9,50,0.7,0.7,0.5454545454545454,0.96,0.6956521739130435,48,40,2
9,50,0.6,0.5,0.5802469135802469,0.94,0.717557251908397,47,34,3
9,50,0.3,0.5,0.6410256410256411,1.0,0.7812500000000001,50,28,0
9,50,0.3,0.4,0.7246376811594203,1.0,0.8403361344537814,50,19,0
9,50,0.3,0.3,0.9090909090909091,1.0,0.9523809523809523,50,5,0
9,50,0.4,0.6,0.625,1.0,0.7692307692307693,50,30,0
9,50,0.5,0.3,0.9074074074074074,0.98,0.9423076923076924,49,5,1
9,50,0.5,0.4,0.6025641025641025,0.94,0.7343749999999999,47,31,3
9,50,0.5,0.5,0.6233766233766234,0.96,0.7559055118110236,48,29,2
9,50,0.4,0.7,0.5617977528089888,1.0,0.7194244604316548,50,39,0
9,50,0.6,0.7,0.6024096385542169,1.0,0.7518796992481204,50,33,0
9,50,0.7,0.5,0.6266666666666667,0.94,0.752,47,28,3
9,50,0.7,0.4,0.7833333333333333,0.94,0.8545454545454546,47,13,3
9,50,0.7,0.3,0.9245283018867925,0.98,0.9514563106796116,49,4,1
9,50,0.6,0.6,0.5853658536585366,0.96,0.7272727272727272,48,34,2
42,100,0.6,0.3,0.8532110091743119,0.93,0.8899521531100477,93,16,7
42,100,0.6,0.4,0.7916666666666666,0.95,0.8636363636363635,95,25,5
42,100,0.7,0.6,0.744,0.93,0.8266666666666667,93,32,7
42,100,0.7,0.7,0.7045454545454546,0.93,0.8017241379310345,93,39,7
42,100,0.6,0.5,0.7661290322580645,0.95,0.8482142857142857,95,29,5
42,100,0.6,0.7,0.6690140845070423,0.95,0.7851239669421488,95,47,5
42,100,0.7,0.5,0.7948717948717948,0.93,0.8571428571428572,93,24,7
42,100,0.7,0.4,0.8303571428571429,0.93,0.8773584905660378,93,19,7
42,100,0.7,0.3,0.8773584905660378,0.93,0.9029126213592233,93,13,7
42,100,0.6,0.6,0.7089552238805971,0.95,0.811965811965812,95,39,5
42,10,0.5,0.7,0.625,0.5,0.5555555555555556,5,3,5
42,10,0.5,0.6,0.8571428571428571,0.6,0.7058823529411764,6,1,4
42,10,0.4,0.4,1.0,0.5,0.6666666666666666,5,0,5
42,10,0.4,0.3,1.0,0.5,0.6666666666666666,5,0,5
42,10,0.6,0.3,0.36,0.9,0.5142857142857143,9,16,1
42,10,0.6,0.4,0.2647058823529412,0.9,0.40909090909090906,9,25,1
42,10,0.6,0.5,0.23076923076923078,0.9,0.3673469387755102,9,30,1
42,10,0.5,0.3,1.0,0.4,0.5714285714285715,4,0,6
42,10,0.5,0.4,1.0,0.4,0.5714285714285715,4,0,6
42,10,0.5,0.5,1.0,0.6,0.7499999999999999,6,0,4
42,10,0.7,0.5,0.19148936170212766,0.9,0.3157894736842105,9,38,1
42,10,0.7,0.4,0.21951219512195122,0.9,0.3529411764705882,9,32,1
42,10,0.7,0.3,0.25,0.9,0.391304347826087,9,27,1
42,10,0.6,0.6,0.1875,0.9,0.31034482758620696,9,39,1
42,50,0.5,0.6,1.0,0.02,0.0392156862745098,1,0,49
42,50,0.4,0.3,1.0,0.22,0.36065573770491804,11,0,39
42,50,0.6,0.3,0.7377049180327869,0.9,0.8108108108108109,45,16,5
42,50,0.6,0.4,0.6428571428571429,0.9,0.75,45,25,5
42,50,0.7,0.6,0.5769230769230769,0.9,0.7031249999999999,45,33,5
42,50,0.7,0.7,0.5238095238095238,0.88,0.6567164179104478,44,40,6
42,50,0.6,0.5,0.6081081081081081,0.9,0.7258064516129032,45,29,5
42,50,0.5,0.3,1.0,0.28,0.43750000000000006,14,0,36
42,50,0.5,0.4,1.0,0.16,0.2758620689655173,8,0,42
42,50,0.5,0.5,1.0,0.38,0.5507246376811594,19,0,31
42,50,0.6,0.7,0.4891304347826087,0.9,0.6338028169014084,45,47,5
