seed,corrupt,r01,r10,precision,recall,f1,TP,FP,FN
20,800,0.3,0.6,0.3739130434782609,0.3225,0.34630872483221475,258,432,542
20,800,0.3,0.7,0.43159609120521175,0.33125,0.37482319660537483,265,349,535
20,800,0.4,0.5,0.5673316708229427,0.56875,0.5680399500624219,455,347,345
20,800,0.5,0.7,0.5498108448928121,0.545,0.5473948524795983,436,357,364
20,800,0.5,0.6,0.5552763819095478,0.5525,0.5538847117794485,442,354,358
20,800,0.4,0.4,0.5819774718397998,0.58125,0.5816135084427768,465,334,335
20,800,0.4,0.3,0.7929736511919699,0.79,0.791484032561052,632,165,168
20,800,0.6,0.3,0.7969924812030075,0.795,0.7959949937421777,636,162,164
20,800,0.6,0.4,0.6928838951310862,0.69375,0.693316677076827,555,246,245
20,800,0.7,0.6,0.7002518891687658,0.695,0.6976160602258469,556,238,244
20,800,0.7,0.7,0.5878712871287128,0.59375,0.5907960199004975,475,333,325
20,800,0.6,0.5,0.6774595267745953,0.68,0.678727386150967,544,259,256
20,800,0.3,0.5,0.495,0.495,0.495,396,404,404
20,800,0.3,0.4,0.5472636815920398,0.55,0.5486284289276808,440,364,360
20,800,0.3,0.3,0.6358024691358025,0.64375,0.6397515527950312,515,295,285
20,800,0.4,0.6,0.520935960591133,0.52875,0.5248138957816377,423,389,377
20,800,0.5,0.3,0.795,0.795,0.795,636,164,164
20,800,0.5,0.4,0.6825,0.6825,0.6825,546,254,254
20,800,0.5,0.5,0.5933250927070457,0.6,0.5966438781852081,480,329,320
20,800,0.4,0.7,0.4675,0.4675,0.4675,374,426,426
20,800,0.6,0.7,0.5910224438902744,0.5925,0.5917602996254683,474,328,326
20,800,0.7,0.5,0.6804511278195489,0.67875,0.6795994993742178,543,255,257
20,800,0.7,0.4,0.7153558052434457,0.71625,0.7158026233603998,573,228,227
20,800,0.7,0.3,0.83875,0.83875,0.83875,671,129,129
20,800,0.6,0.6,0.589937106918239,0.58625,0.5880877742946709,469,326,331
20,1000,0.3,0.6,0.32123799359658484,0.301,0.3107898812596799,301,636,699
20,1000,0.3,0.7,0.29493087557603687,0.256,0.27408993576017127,256,612,744
20,1000,0.4,0.5,0.5511520737327189,0.598,0.5736211031175059,598,487,402
20,1000,0.5,0.7,0.5559038662486938,0.532,0.5436893203883495,532,425,468
20,1000,0.5,0.6,0.5701849836779108,0.524,0.546117769671704,524,395,476
20,1000,0.4,0.4,0.5695695695695696,0.569,0.5692846423211606,569,430,431
20,1000,0.4,0.3,0.796812749003984,0.8,0.7984031936127745,800,204,200
20,1000,0.6,0.3,0.8193612774451098,0.821,0.8201798201798202,821,181,179
20,1000,0.6,0.4,0.706,0.706,0.706,706,294,294
20,1000,0.7,0.6,0.6976047904191617,0.699,0.6983016983016983,699,303,301
20,1000,0.7,0.7,0.5974025974025974,0.598,0.5977011494252874,598,403,402
20,1000,0.6,0.5,0.700199203187251,0.703,0.7015968063872257,703,301,297
20,1000,0.3,0.5,0.4927360774818402,0.407,0.4457831325301204,407,419,593
20,1000,0.3,0.4,0.5082444228903976,0.524,0.5160019694731659,524,507,476
20,1000,0.3,0.3,0.6461232604373758,0.65,0.6480558325024925,650,356,350
20,1000,0.4,0.6,0.5035105315947843,0.502,0.5027541311967951,502,495,498
20,1000,0.5,0.3,0.805,0.805,0.805,805,195,195
20,1000,0.5,0.4,0.6796019900497512,0.683,0.6812967581047381,683,322,317
20,1000,0.5,0.5,0.611,0.611,0.611,611,389,389
20,1000,0.4,0.7,0.3597506678539626,0.404,0.38059349976448426,404,719,596
20,1000,0.6,0.7,0.555441478439425,0.541,0.5481256332320162,541,433,459
20,1000,0.7,0.5,0.691,0.691,0.691,691,309,309
20,1000,0.7,0.4,0.720558882235529,0.722,0.7212787212787213,722,280,278
20,1000,0.7,0.3,0.847542627883651,0.845,0.8462694041061593,845,152,155
20,1000,0.6,0.6,0.6081754735792622,0.61,0.6090863704443334,610,393,390
20,500,0.3,0.6,0.4226327944572748,0.366,0.3922829581993569,183,250,317
20,500,0.3,0.7,0.32684824902723736,0.336,0.3313609467455621,168,346,332
20,500,0.4,0.5,0.5564516129032258,0.552,0.5542168674698795,276,220,224
20,500,0.5,0.7,0.556,0.556,0.556,278,222,222
20,500,0.5,0.6,0.546,0.546,0.546,273,227,227
20,500,0.4,0.4,0.5389344262295082,0.526,0.5323886639676113,263,225,237
20,500,0.4,0.3,0.7595190380761523,0.758,0.7587587587587586,379,120,121
20,500,0.6,0.3,0.7735470941883767,0.772,0.7727727727727729,386,113,114
20,500,0.6,0.4,0.664,0.664,0.664,332,168,168
20,500,0.7,0.6,0.6222664015904572,0.626,0.6241276171485542,313,190,187
20,500,0.7,0.7,0.5523613963039015,0.538,0.5450861195542047,269,218,231
20,500,0.6,0.5,0.636,0.636,0.636,318,182,182
20,500,0.3,0.5,0.4970178926441352,0.5,0.4985044865403789,250,253,250
20,500,0.3,0.4,0.52734375,0.54,0.5335968379446641,270,242,230
20,500,0.3,0.3,0.604,0.604,0.604,302,198,198
20,500,0.4,0.6,0.5249500998003992,0.526,0.5254745254745254,263,238,237
20,500,0.5,0.3,0.7764471057884231,0.778,0.7772227772227773,389,112,111
20,500,0.5,0.4,0.648,0.648,0.648,324,176,176
20,500,0.5,0.5,0.578,0.578,0.578,289,211,211
20,500,0.4,0.7,0.5194274028629857,0.508,0.5136501516683519,254,235,246
20,500,0.6,0.7,0.5350701402805611,0.534,0.5345345345345346,267,232,233
20,500,0.7,0.5,0.6381709741550696,0.642,0.6400797607178466,321,182,179
20,500,0.7,0.4,0.7025948103792415,0.704,0.7032967032967032,352,149,148
20,500,0.7,0.3,0.824,0.824,0.824,412,88,88
20,500,0.6,0.6,0.5288270377733598,0.532,0.5304087736789631,266,237,234
