seed,corrupt,r01,r10,precision,recall,f1,TP,FP,FN
20,5000,0.3,0.6,0.8617043334024466,0.8312,0.8461773388985036,4156,667,844
20,5000,0.3,0.1,0.9813932380304061,0.865,0.9195280110555969,4325,82,675
20,5000,0.2,0.3,0.7292849035187288,0.771,0.7495625121524402,3855,1431,1145
20,5000,0.2,0.4,0.64696261682243,0.5538,0.5967672413793104,2769,1511,2231
20,5000,0.2,0.5,0.6399635867091489,0.5624,0.5986800085160742,2812,1582,2188
20,5000,0.2,0.2,0.824381926683717,0.7736,0.7981840693355344,3868,824,1132
20,5000,0.3,0.7,0.7723033252230332,0.7618,0.7670157068062827,3809,1123,1191
20,5000,0.1,0.1,0.5290906670217015,0.7948,0.6352809527615698,3974,3537,1026
20,5000,0.4,0.2,0.9711924966502903,0.8698,0.9177041569951467,4349,129,651
20,5000,0.4,0.5,0.8852459016393442,0.864,0.8744939271255061,4320,560,680
20,5000,0.5,0.7,0.8401606425702811,0.8368,0.8384769539078155,4184,796,816
20,5000,0.5,0.1,0.9825905292479109,0.8466,0.9095401804899012,4233,75,767
20,5000,0.4,0.4,0.8997012377294067,0.8432,0.8705347924839975,4216,470,784
20,5000,0.4,0.3,0.9477760566497012,0.8566,0.8998844416430297,4283,236,717
20,5000,0.6,0.3,0.9569041336851363,0.8704,0.9116045245077503,4352,196,648
20,5000,0.6,0.4,0.924443493150685,0.8638,0.8930934656741109,4319,353,681
20,5000,0.7,0.6,0.9209726443768997,0.8484,0.8831980012492193,4242,364,758
20,5000,0.7,0.1,0.9871212121212121,0.7818,0.8725446428571428,3909,51,1091
20,5000,0.7,0.7,0.8846942962659007,0.8624,0.8734049017622038,4312,562,688
20,5000,0.6,0.5,0.9327052489905787,0.8316,0.8792556565870163,4158,300,842
20,5000,0.6,0.2,0.964221824686941,0.8624,0.910472972972973,4312,160,688
20,5000,0.3,0.2,0.9666594029200262,0.8872,0.9252268224006673,4436,153,564
20,5000,0.3,0.5,0.8417514883810255,0.8766,0.8588223768002352,4383,824,617
20,5000,0.2,0.1,0.9672131147540983,0.9086,0.9369908219036815,4543,154,457
20,5000,0.3,0.4,0.8734915526950925,0.8686,0.8710389089450461,4343,629,657
20,5000,0.3,0.3,0.9107067287346593,0.8608,0.8850503804236068,4304,422,696
20,5000,0.4,0.6,0.8356589147286821,0.8624,0.8488188976377954,4312,848,688
20,5000,0.4,0.1,0.9847961299239807,0.855,0.9153195589337331,4275,66,725
20,5000,0.5,0.3,0.9560869565217391,0.8796,0.91625,4398,202,602
20,5000,0.5,0.4,0.9311169056931768,0.857,0.8925223911685065,4285,317,715
20,5000,0.5,0.5,0.8976821883482982,0.8598,0.87833282255593,4299,490,701
20,5000,0.5,0.2,0.9715883668903803,0.8686,0.9172122492080255,4343,127,657
20,5000,0.4,0.7,0.8338755591703945,0.8202,0.8269812462189958,4101,817,899
20,5000,0.6,0.7,0.8768849411278662,0.849,0.862717203536226,4245,596,755
20,5000,0.7,0.2,0.9628080985915493,0.875,0.9168063704945516,4375,169,625
20,5000,0.7,0.4,0.9530155861757398,0.8438,0.895088575368622,4219,208,781
20,5000,0.7,0.3,0.9582517938682322,0.8814,0.9182206479841649,4407,192,593
