Sp,P.Po3,P_rank,R.Po3,R.Po3_prop
Artibeus lituratus,0.3903262092238471,252.5,1.0,0.005221932114882507
Eidolon helvum,0.3903262092238471,252.5,1.0,0.005221932114882507
Rousettus aegyptiacus,0.3903262092238471,252.5,1.0,0.005221932114882507
Rousettus leschenaultii,0.3903262092238471,252.5,1.0,0.005221932114882507
Carollia perspicillata,0.3683481872458251,250.0,3.5,0.018276762402088774
Cynopterus sphinx,0.3243921432897811,246.0,7.5,0.0391644908616188
Eonycteris spelaea,0.3243921432897811,246.0,7.5,0.0391644908616188
Micropteropus pusillus,0.3243921432897811,246.0,7.5,0.0391644908616188
Miniopterus schreibersii,0.3243921432897811,246.0,7.5,0.0391644908616188
Artibeus phaeotis,0.3243921432897811,246.0,7.5,0.0391644908616188
Epomops franqueti,0.3243921432897811,246.0,7.5,0.0391644908616188
Pteropus alecto,0.3243921432897811,246.0,7.5,0.0391644908616188
Epomophorus gambianus,0.3024141213117591,238.0,15.5,0.08093994778067885
Hipposideros armiger,0.3024141213117591,238.0,15.5,0.08093994778067885
Hipposideros caffer,0.3024141213117591,238.0,15.5,0.08093994778067885
Myotis daubentonii,0.3024141213117591,238.0,15.5,0.08093994778067885
Pipistrellus pipistrellus,0.3024141213117591,238.0,15.5,0.08093994778067885
Pteropus giganteus,0.3024141213117591,238.0,15.5,0.08093994778067885
Rhinolophus ferrumequinum,0.3024141213117591,238.0,15.5,0.08093994778067885
Cynopterus brachyotis,0.3024141213117591,238.0,15.5,0.08093994778067885
Pteronotus parnellii,0.3024141213117591,238.0,15.5,0.08093994778067885
Eptesicus serotinus,0.2804360993337371,228.5,25.0,0.13054830287206268
Myotis ricketti,0.2804360993337371,228.5,25.0,0.13054830287206268
Pipistrellus abramus,0.2804360993337371,228.5,25.0,0.13054830287206268
Pipistrellus kuhlii,0.2804360993337371,228.5,25.0,0.13054830287206268
Rhinolophus affinis,0.2804360993337371,228.5,25.0,0.13054830287206268
Rhinolophus sinicus,0.2804360993337371,228.5,25.0,0.13054830287206268
Pteronotus davyi,0.2804360993337371,228.5,25.0,0.13054830287206268
Rhinolophus pusillus,0.2804360993337371,228.5,25.0,0.13054830287206268
Rousettus amplexicaudatus,0.2804360993337371,228.5,25.0,0.13054830287206268
Taphozous perforatus,0.2804360993337371,228.5,25.0,0.13054830287206268
Artibeus jamaicensis,0.2694470883447261,223.0,30.5,0.15926892950391644
Hipposideros pratti,0.2584580773557152,210.0,43.5,0.22715404699738903
Hipposideros ruber,0.2584580773557152,210.0,43.5,0.22715404699738903
Hypsugo savii,0.2584580773557152,210.0,43.5,0.22715404699738903
Megaloglossus woermanni,0.2584580773557152,210.0,43.5,0.22715404699738903
Mops condylurus,0.2584580773557152,210.0,43.5,0.22715404699738903
Myotis emarginatus,0.2584580773557152,210.0,43.5,0.22715404699738903
Neoromicia capensis,0.2584580773557152,210.0,43.5,0.22715404699738903
Rhinolophus clivosus,0.2584580773557152,210.0,43.5,0.22715404699738903
Rhinolophus euryale,0.2584580773557152,210.0,43.5,0.22715404699738903
Rhinolophus rex,0.2584580773557152,210.0,43.5,0.22715404699738903
Rhinopoma hardwickii,0.2584580773557152,210.0,43.5,0.22715404699738903
Scotophilus dinganii,0.2584580773557152,210.0,43.5,0.22715404699738903
Scotophilus leucogaster,0.2584580773557152,210.0,43.5,0.22715404699738903
Triaenops persicus,0.2584580773557152,210.0,43.5,0.22715404699738903
Chaerephon plicatus,0.2584580773557152,210.0,43.5,0.22715404699738903
Dobsonia moluccensis,0.2584580773557152,210.0,43.5,0.22715404699738903
Eidolon dupreanum,0.2584580773557152,210.0,43.5,0.22715404699738903
Epomophorus labiatus,0.2584580773557152,210.0,43.5,0.22715404699738903
Eumops glaucinus,0.2584580773557152,210.0,43.5,0.22715404699738903
Myotis dasycneme,0.2584580773557152,210.0,43.5,0.22715404699738903
Nyctalus noctula,0.2584580773557152,210.0,43.5,0.22715404699738903
Nyctinomops laticaudatus,0.2584580773557152,210.0,43.5,0.22715404699738903
Pipistrellus nathusii,0.2584580773557152,210.0,43.5,0.22715404699738903
Pteropus rufus,0.2584580773557152,210.0,43.5,0.22715404699738903
Vespertilio sinensis,0.2584580773557152,210.0,43.5,0.22715404699738903
Desmodus rotundus,0.2474690663667041,194.5,59.0,0.30809399477806787
Glossophaga soricina,0.2474690663667041,194.5,59.0,0.30809399477806787
Molossus rufus,0.2474690663667041,194.5,59.0,0.30809399477806787
Scotophilus kuhlii,0.2474690663667041,194.5,59.0,0.30809399477806787
Sturnira lilium,0.2474690663667041,194.5,59.0,0.30809399477806787
Phyllostomus hastatus,0.2474690663667041,194.5,59.0,0.30809399477806787
Artibeus obscurus,0.2364800553776932,180.0,73.5,0.3838120104438642
Aselliscus stoliczkanus,0.2364800553776932,180.0,73.5,0.3838120104438642
Cynopterus horsfieldii,0.2364800553776932,180.0,73.5,0.3838120104438642
Dyacopterus spadiceus,0.2364800553776932,180.0,73.5,0.3838120104438642
Eptesicus nilssonii,0.2364800553776932,180.0,73.5,0.3838120104438642
Hipposideros commersoni,0.2364800553776932,180.0,73.5,0.3838120104438642
Hipposideros galeritus,0.2364800553776932,180.0,73.5,0.3838120104438642
Ia io,0.2364800553776932,180.0,73.5,0.3838120104438642
