Sp,P.Far1,P_rank,R.Far1,R.Far1_prop
Rousettus leschenaultii,0.575533786118961,254.0,1.0,0.003937007874015748
Rousettus aegyptiacus,0.56885961480721,253.0,2.0,0.007874015748031496
Eidolon helvum,0.543432364495717,252.0,3.0,0.011811023622047244
Artibeus lituratus,0.53537455043496,251.0,4.0,0.015748031496062992
Carollia perspicillata,0.497532452143077,250.0,5.0,0.01968503937007874
Artibeus jamaicensis,0.460236698195409,249.0,6.0,0.023622047244094488
Micropteropus pusillus,0.427210154210875,248.0,7.0,0.027559055118110236
Cynopterus sphinx,0.424368958658,247.0,8.0,0.031496062992125984
Rhinolophus ferrumequinum,0.419585831713048,246.0,9.0,0.03543307086614173
Scotophilus kuhlii,0.418000708273254,245.0,10.0,0.03937007874015748
Eonycteris spelaea,0.41670677340564,244.0,11.0,0.04330708661417323
Pteropus alecto,0.411214294102976,243.0,12.0,0.047244094488188976
Miniopterus schreibersii,0.409283248641356,242.0,13.0,0.051181102362204724
Glossophaga soricina,0.409110327517317,241.0,14.0,0.05511811023622047
Molossus rufus,0.406190061273898,240.0,15.0,0.05905511811023622
Sturnira lilium,0.403941427400365,239.0,16.0,0.06299212598425197
Desmodus rotundus,0.403328093954675,238.0,17.0,0.06692913385826772
Epomops franqueti,0.401062722280504,237.0,18.0,0.07086614173228346
Artibeus phaeotis,0.398633999937913,236.0,19.0,0.07480314960629922
Phyllostomus hastatus,0.392108150027783,235.0,20.0,0.07874015748031496
Epomophorus gambianus,0.383053314776728,234.0,21.0,0.08267716535433071
Pipistrellus pipistrellus,0.369979425158603,233.0,22.0,0.08661417322834646
Myotis daubentonii,0.367446505428076,232.0,23.0,0.09055118110236221
Eptesicus fuscus,0.362187749320375,231.0,24.0,0.09448818897637795
Cynopterus brachyotis,0.362150893139204,230.0,25.0,0.0984251968503937
Myotis lucifugus,0.362024886607817,229.0,26.0,0.10236220472440945
Myotis nigricans,0.361567268295189,228.0,27.0,0.1062992125984252
Pteropus giganteus,0.361108975575104,227.0,28.0,0.11023622047244094
Tadarida brasiliensis,0.358625873812818,226.0,29.0,0.1141732283464567
Hipposideros armiger,0.348982451130045,225.0,30.0,0.11811023622047244
Rhinolophus sinicus,0.348178144189829,224.0,31.0,0.1220472440944882
Pteronotus parnellii,0.348033342911709,223.0,32.0,0.12598425196850394
Myotis septentrionalis,0.347287075987267,222.0,33.0,0.12992125984251968
Hipposideros caffer,0.342603453018098,221.0,34.0,0.13385826771653545
Rhinolophus affinis,0.341709291654369,220.0,35.0,0.1377952755905512
Uroderma bilobatum,0.326749111546334,219.0,36.0,0.14173228346456693
Rousettus amplexicaudatus,0.324599767372316,218.0,37.0,0.14566929133858267
Eptesicus serotinus,0.304416225217393,217.0,38.0,0.14960629921259844
Pipistrellus kuhlii,0.30205586491062,216.0,39.0,0.15354330708661418
Murina leucogaster,0.301804186374288,215.0,40.0,0.15748031496062992
Rhinolophus pusillus,0.301071509494916,214.0,41.0,0.16141732283464566
Molossus molossus,0.298615438432635,213.0,42.0,0.16535433070866143
Pipistrellus abramus,0.298501751872392,212.0,43.0,0.16929133858267717
Pteropus scapulatus,0.297883587482818,211.0,44.0,0.1732283464566929
Myotis keenii,0.297476334826381,210.0,45.0,0.17716535433070865
Pteropus poliocephalus,0.297184396076129,209.0,46.0,0.18110236220472442
Pteronotus davyi,0.296511731876703,208.0,47.0,0.18503937007874016
Hypsignathus monstrosus,0.293741830889306,207.0,48.0,0.1889763779527559
Rhinolophus euryale,0.293435947494994,206.0,49.0,0.19291338582677164
Carollia brevicauda,0.293073321822916,205.0,50.0,0.1968503937007874
Chaerephon pumilus,0.292565650516427,204.0,51.0,0.20078740157480315
Myotis ricketti,0.291669438563606,203.0,52.0,0.2047244094488189
Hipposideros pomona,0.291298225104123,202.0,53.0,0.20866141732283464
Nycteris gambiensis,0.290868871932367,201.0,54.0,0.2125984251968504
Taphozous perforatus,0.284084425103339,200.0,55.0,0.21653543307086615
Rhinolophus eloquens,0.27778725574355,199.0,56.0,0.2204724409448819
Rhinolophus rex,0.27297174024589,198.0,57.0,0.22440944881889763
Rhinolophus clivosus,0.272638296114225,197.0,58.0,0.2283464566929134
Cynomops planirostris,0.241702343242509,196.0,59.0,0.23228346456692914
Epomophorus labiatus,0.23998147781372,195.0,60.0,0.23622047244094488
Myotis mystacinus,0.2394727211216,194.0,61.0,0.24015748031496062
Pteropus conspicillatus,0.238349306995564,193.0,62.0,0.2440944881889764
Myotis volans,0.238153832066289,192.0,63.0,0.24803149606299213
Myotis velifer,0.237902896769077,191.0,64.0,0.25196850393700787
Myotis nattereri,0.237750005773081,190.0,65.0,0.2559055118110236
Myotis riparius,0.237364652935868,189.0,66.0,0.25984251968503935
Eumops glaucinus,0.237238829796651,188.0,67.0,0.2637795275590551
Myotis myotis,0.236649229660375,187.0,68.0,0.2677165354330709
Myotis blythii,0.235507264443134,186.0,69.0,0.27165354330708663
Pipistrellus subflavus,0.235241706292144,185.0,70.0,0.2755905511811024
Megaloglossus woermanni,0.234873438466191,184.0,71.0,0.2795275590551181
Cynomops abrasus,0.234005969317062,183.0,72.0,0.28346456692913385
Pipistrellus nathusii,0.233322126337348,182.0,73.0,0.2874015748031496
Plecotus auritus,0.232011094976857,181.0,74.0,0.29133858267716534
Scotophilus dinganii,0.231656513827418,180.0,75.0,0.2952755905511811
Myotis dasycneme,0.231579471603637,179.0,76.0,0.2992125984251969
Nyctalus noctula,0.231575564020647,178.0,77.0,0.3031496062992126
Neoromicia capensis,0.231357344527662,177.0,78.0,0.30708661417322836
Scotophilus leucogaster,0.231321849007333,176.0,79.0,0.3110236220472441
Barbastella barbastellus,0.231219995179843,175.0,80.0,0.31496062992125984
Taphozous melanopogon,0.231060656565544,174.0,81.0,0.3188976377952756
Pteropus hypomelanus,0.231046868685183,173.0,82.0,0.3228346456692913
Artibeus cinereus,0.230870151300538,172.0,83.0,0.32677165354330706
Mormoops megalophylla,0.230793977740887,171.0,84.0,0.33070866141732286
Hipposideros bicolor,0.230742756519431,170.0,85.0,0.3346456692913386
Pteropus lylei,0.230347694843241,169.0,86.0,0.33858267716535434
Eidolon dupreanum,0.230077059113611,168.0,87.0,0.3425196850393701
Lasiurus cinereus,0.22993156842654,167.0,88.0,0.3464566929133858
Myotis emarginatus,0.229820075983588,166.0,89.0,0.35039370078740156
Hypsugo savii,0.228703653525865,165.0,90.0,0.3543307086614173
Triaenops persicus,0.228418491725232,164.0,91.0,0.35826771653543305
Hipposideros pratti,0.228323920095238,163.0,92.0,0.36220472440944884
Nyctinomops laticaudatus,0.227993346362226,162.0,93.0,0.3661417322834646
Hipposideros ruber,0.227468376839839,161.0,94.0,0.3700787401574803
Pteropus vampyrus,0.227337921527389,160.0,95.0,0.37401574803149606
Mops condylurus,0.227246317599935,159.0,96.0,0.3779527559055118
Rhinopoma hardwickii,0.22687106215276,158.0,97.0,0.38188976377952755
Hipposideros larvatus,0.225943357342568,157.0,98.0,0.3858267716535433
Vespertilio sinensis,0.225886585363534,156.0,99.0,0.38976377952755903
Miniopterus inflatus,0.225005259098753,155.0,100.0,0.3937007874015748
Pteropus rufus,0.22397330727959,154.0,101.0,0.39763779527559057
Dobsonia moluccensis,0.223674617117218,153.0,102.0,0.4015748031496063
Hipposideros abae,0.223488295777189,152.0,103.0,0.40551181102362205
Platyrrhinus helleri,0.223307648049588,151.0,104.0,0.4094488188976378
Natalus tumidirostris,0.221178791836168,150.0,105.0,0.41338582677165353
Anoura geoffroyi,0.22093195821029,149.0,106.0,0.41732283464566927
Chaerephon plicatus,0.220101404907562,148.0,107.0,0.421259842519685
Phyllostomus discolor,0.219309777443228,147.0,108.0,0.4251968503937008
Rhinolophus rouxii,0.198265757286396,146.0,109.0,0.42913385826771655
Rhinolophus mehelyi,0.194216983379659,145.0,110.0,0.4330708661417323
