Sp,P.Gut1,P_rank,R.Gut1,R.Gut1_prop
Acerodon celebensis,0.675535046964439,841.0,276.0,0.24731182795698925
Acerodon humilis,0.515004954706875,638.0,479.0,0.4292114695340502
Acerodon jubatus,0.853246909688531,978.0,139.0,0.12455197132616487
Acerodon leucotis,0.505512298312441,625.0,492.0,0.44086021505376344
Acerodon mackloti,0.589357020328432,744.0,373.0,0.3342293906810036
Aethalops aequalis,0.589844814099803,746.0,371.0,0.3324372759856631
Aethalops alecto,0.589179173442081,743.0,374.0,0.33512544802867383
Alionycteris paucidentata,0.397500726650152,509.0,608.0,0.5448028673835126
Ametrida centurio,0.137326110378308,136.0,981.0,0.8790322580645161
Amorphochilus schnablii,0.0509756136153603,12.0,1105.0,0.9901433691756273
Anoura caudifer,0.311457631024042,403.0,714.0,0.6397849462365591
Anoura cultrata,0.198844258403779,231.0,886.0,0.7939068100358423
Anoura geoffroyi,0.62681496839671,791.0,326.0,0.2921146953405018
Anoura latidens,0.227522722929855,264.0,853.0,0.764336917562724
Anoura luismanueli,0.0774240320683259,37.0,1080.0,0.967741935483871
Anthops ornatus,0.141821558049174,142.0,975.0,0.8736559139784946
Antrozous pallidus,0.371238879541322,482.0,635.0,0.5689964157706093
Aproteles bulmerae,0.423189960096161,539.0,578.0,0.517921146953405
Ardops nichollsi,0.287509777067532,347.0,770.0,0.6899641577060932
Arielulus aureocollaris,0.562378965049939,705.0,412.0,0.36917562724014336
Arielulus circumdatus,0.822572483963197,943.0,174.0,0.15591397849462366
Arielulus cuprosus,0.29007181290097,351.0,766.0,0.6863799283154122
Arielulus societatis,0.300256095048802,376.0,741.0,0.6639784946236559
Arielulus torquatus,0.612554826887422,778.0,339.0,0.30376344086021506
Ariteus flavescens,0.109666339811286,81.0,1036.0,0.9283154121863799
Artibeus amplus,0.320746908520974,416.0,701.0,0.6281362007168458
Artibeus anderseni,0.110382340829546,82.0,1035.0,0.9274193548387096
Artibeus aztecus,0.398106510722826,511.0,606.0,0.543010752688172
Artibeus cinereus,0.164313247557621,177.0,940.0,0.8422939068100358
Artibeus concolor,0.298842587964233,367.0,750.0,0.6720430107526881
Artibeus fimbriatus,0.325901748886881,423.0,694.0,0.6218637992831542
Artibeus fraterculus,0.1438825347948,146.0,971.0,0.8700716845878136
Artibeus glaucus,0.409419358722918,525.0,592.0,0.5304659498207885
Artibeus gnomus,0.363976505422293,471.0,646.0,0.578853046594982
Artibeus hirsutus,0.409846059990604,526.0,591.0,0.5295698924731183
Artibeus incomitatus,0.0680448460300319,29.0,1088.0,0.974910394265233
Artibeus inopinatus,0.294669636401582,357.0,760.0,0.6810035842293907
Artibeus jamaicensis,0.866028284827,995.0,122.0,0.10931899641577061
Artibeus lituratus,0.779811756074537,908.0,209.0,0.18727598566308243
Artibeus obscurus,0.161806185598585,173.0,944.0,0.8458781362007168
Artibeus phaeotis,0.15297034781389,160.0,957.0,0.8575268817204301
Artibeus toltecus,0.454473756624405,574.0,543.0,0.48655913978494625
Artibeus watsoni,0.25307926018086,296.0,821.0,0.735663082437276
Asellia patrizii,0.468505643171844,589.0,528.0,0.4731182795698925
Asellia tridens,0.931627004299981,1069.0,48.0,0.043010752688172046
Aselliscus stoliczkanus,0.845704700182833,968.0,149.0,0.1335125448028674
Aselliscus tricuspidatus,0.194358403304934,224.0,893.0,0.8001792114695341
Balantiopteryx infusca,0.0870472579384616,49.0,1068.0,0.956989247311828
Balantiopteryx io,0.1155012376369,94.0,1023.0,0.9166666666666666
Balantiopteryx plicata,0.29574828990142,360.0,757.0,0.6783154121863799
Balionycteris maculata,0.722938768601899,879.0,238.0,0.2132616487455197
Barbastella barbastellus,0.8640081874925,992.0,125.0,0.11200716845878136
Barbastella leucomelas,0.908275147638829,1048.0,69.0,0.06182795698924731
Bauerus dubiaquercus,0.259801581727558,304.0,813.0,0.728494623655914
Brachyphylla cavernarum,0.394624119421005,506.0,611.0,0.5474910394265233
Brachyphylla nana,0.276322287037684,328.0,789.0,0.706989247311828
Cardioderma cor,0.917465534213384,1053.0,64.0,0.05734767025089606
Carollia brevicauda,0.607188784020158,767.0,350.0,0.31362007168458783
Carollia castanea,0.195199136411894,225.0,892.0,0.7992831541218638
Carollia colombiana,0.0675711055839294,27.0,1090.0,0.9767025089605734
Carollia perspicillata,0.485215010522262,602.0,515.0,0.4614695340501792
Carollia sowelli,0.566883747798338,714.0,403.0,0.3611111111111111
Carollia subrufa,0.2079377065131,238.0,879.0,0.7876344086021505
Casinycteris argynnis,0.523432655107002,648.0,469.0,0.42025089605734767
Centronycteris centralis,0.177391025563037,196.0,921.0,0.8252688172043011
Centronycteris maximiliani,0.208698921909201,239.0,878.0,0.7867383512544803
Centurio senex,0.66299379292536,834.0,283.0,0.253584229390681
Chaerephon aloysiisabaudiae,0.401080570947268,515.0,602.0,0.5394265232974911
Chaerephon ansorgei,0.601602665242818,757.0,360.0,0.3225806451612903
Chaerephon bemmeleni,0.658790420027874,830.0,287.0,0.257168458781362
Chaerephon bivittatus,0.90662258098568,1047.0,70.0,0.06272401433691756
Chaerephon bregullae,0.137393631862081,137.0,980.0,0.8781362007168458
Chaerephon chapini,0.364932965593511,473.0,644.0,0.5770609318996416
Chaerephon gallagheri,0.134618309496285,128.0,989.0,0.8862007168458781
Chaerephon jobensis,0.605329778206438,764.0,353.0,0.3163082437275986
Chaerephon johorensis,0.420732932390501,536.0,581.0,0.5206093189964157
Chaerephon leucogaster,0.766346559587355,900.0,217.0,0.19444444444444445
Chaerephon major,0.738889477618063,884.0,233.0,0.20878136200716846
Chaerephon nigeriae,0.806542123157634,930.0,187.0,0.16756272401433692
Chaerephon plicatus,0.895021155149887,1030.0,87.0,0.07795698924731183
Chaerephon pumilus,0.898531955240131,1036.0,81.0,0.07258064516129033
Chaerephon russatus,0.618958262556978,783.0,334.0,0.2992831541218638
Chaerephon shortridgei,0.212217578028199,245.0,872.0,0.7813620071684588
Chaerephon solomonis,0.104582415347641,77.0,1040.0,0.931899641577061
Chaerephon tomensis,0.129627714306777,116.0,1001.0,0.8969534050179212
Chalinolobus dwyeri,0.230662790659868,269.0,848.0,0.7598566308243727
Chalinolobus gouldii,0.482265206394505,600.0,517.0,0.4632616487455197
Chalinolobus morio,0.3136430303325,408.0,709.0,0.6353046594982079
Chalinolobus neocaledonicus,0.119624785673722,101.0,1016.0,0.910394265232975
Chalinolobus nigrogriseus,0.31700406697767,413.0,704.0,0.6308243727598566
Chalinolobus picatus,0.217206609918667,249.0,868.0,0.7777777777777778
Chalinolobus tuberculatus,0.220541088322521,254.0,863.0,0.7732974910394266
Cheiromeles parvidens,0.448342286042892,568.0,549.0,0.49193548387096775
Cheiromeles torquatus,0.871927537546179,1004.0,113.0,0.10125448028673835
Chilonatalus micropus,0.0845538517741713,47.0,1070.0,0.9587813620071685
Chilonatalus tumidifrons,0.0904961261093248,55.0,1062.0,0.9516129032258065
Chiroderma doriae,0.306591013017153,387.0,730.0,0.6541218637992832
Chiroderma improvisum,0.231978363371129,270.0,847.0,0.7589605734767025
Chiroderma salvini,0.601797628767014,758.0,359.0,0.3216845878136201
Chiroderma trinitatum,0.180119830524221,201.0,916.0,0.8207885304659498
Chiroderma villosum,0.459940440286418,580.0,537.0,0.48118279569892475
Chironax melanocephalus,0.70488519465159,864.0,253.0,0.22670250896057348
Choeroniscus godmani,0.260770490766155,307.0,810.0,0.7258064516129032
Choeroniscus minor,0.119462410368204,100.0,1017.0,0.9112903225806451
Choeroniscus periosus,0.100012386018345,67.0,1050.0,0.9408602150537635
Choeronycteris mexicana,0.37265629017594,485.0,632.0,0.5663082437275986
Chrotopterus auritus,0.666233151448273,835.0,282.0,0.25268817204301075
Cistugo lesueuri,0.0986557154209406,64.0,1053.0,0.9435483870967742
Cistugo seabrae,0.111773230643456,83.0,1034.0,0.9265232974910395
Cloeotis percivali,0.328733036829592,430.0,687.0,0.6155913978494624
Coelops frithii,0.902787970299327,1043.0,74.0,0.06630824372759857
Coelops robinsoni,0.437686648776305,557.0,560.0,0.5017921146953405
Coleura afra,0.931330757292172,1068.0,49.0,0.04390681003584229
Coleura seychellensis,0.365516187324898,474.0,643.0,0.5761648745519713
Cormura brevirostris,0.191428330408689,220.0,897.0,0.803763440860215
Corynorhinus mexicanus,0.185786385512814,212.0,905.0,0.8109318996415771
Corynorhinus rafinesquii,0.354838067145521,459.0,658.0,0.589605734767025
Corynorhinus townsendii,0.308732456244081,393.0,724.0,0.6487455197132617
Craseonycteris thonglongyai,0.410042476742952,527.0,590.0,0.5286738351254481
Cynomops abrasus,0.356225030126271,465.0,652.0,0.5842293906810035
Cynomops greenhalli,0.178649652740623,198.0,919.0,0.8234767025089605
Cynomops mexicanus,0.229176892506824,266.0,851.0,0.7625448028673835
