VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,HostTaxID,Host,HostGenus,HostFamily,HostOrder,HostClass
3418604,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,98922,myotis daubentonii,myotis,vespertilionidae,chiroptera,mammalia
694009,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,178895,rhinolophus creaghi,rhinolophus,rhinolophidae,chiroptera,mammalia
694009,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,329870,triaenops persicus,triaenops,rhinonycteridae,chiroptera,mammalia
3418604,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,58063,eidolon dupreanum,eidolon,pteropodidae,chiroptera,mammalia
694009,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,58063,eidolon dupreanum,eidolon,pteropodidae,chiroptera,mammalia
694009,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,77233,megaerops niphanae,megaerops,pteropodidae,chiroptera,mammalia
3418604,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,360967,ia io,ia,vespertilionidae,chiroptera,mammalia
694009,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,360967,ia io,ia,vespertilionidae,chiroptera,mammalia
3433757,betacoronavirus gravedinis,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,360967,ia io,ia,vespertilionidae,chiroptera,mammalia
3433757,betacoronavirus gravedinis,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,109485,hypsugo savii,hypsugo,vespertilionidae,chiroptera,mammalia
