Predicted_Positive_Hosts
acerodon celebensis
artibeus cinereus
artibeus hirsutus
artibeus jamaicensis
artibeus lituratus
artibeus obscurus
aselliscus stoliczkanus
bauerus dubiaquercus
carollia brevicauda
carollia perspicillata
carollia sowelli
chalinolobus gouldii
chalinolobus tuberculatus
coleura afra
cynopterus brachyotis
cynopterus sphinx
desmodus rotundus
diphylla ecaudata
dyacopterus spadiceus
eidolon dupreanum
eidolon helvum
eonycteris spelaea
epomophorus gambianus
epomophorus labiatus
epomophorus wahlbergi
epomops buettikoferi
epomops franqueti
eptesicus fuscus
falsistrellus mackenziei
glauconycteris variegata
glossophaga soricina
hipposideros abae
hipposideros armiger
hipposideros bicolor
hipposideros caffer
hipposideros cervinus
hipposideros cineraceus
hipposideros diadema
hipposideros fuliginosus
hipposideros galeritus
hipposideros larvatus
hipposideros lekaguli
hipposideros pomona
hipposideros pratti
hipposideros ruber
histiotus laephotis
hypsignathus monstrosus
hypsugo alaschanicus
hypsugo pulveratus
hypsugo savii
ia io
kerivoula hardwickii
lasiurus borealis
lonchorhina aurita
macroglossus sobrinus
megaerops kusnotoi
megaerops niphanae
megaloglossus woermanni
miniopterus fuscus
miniopterus inflatus
miniopterus magnater
miniopterus minor
miniopterus natalensis
miniopterus pusillus
miniopterus schreibersii
molossus molossus
molossus rufus
mops condylurus
mops midas
mormopterus jugularis
murina cyclotis
murina hilgendorfi
murina leucogaster
myonycteris angolensis
myonycteris torquata
myotis adversus
myotis blythii
myotis bombinus
myotis brandtii
myotis californicus
myotis chinensis
myotis daubentonii
myotis davidii
myotis emarginatus
myotis fimbriatus
myotis horsfieldii
myotis ikonnikovi
myotis laniger
myotis longipes
myotis lucifugus
myotis macrodactylus
myotis macropus
myotis muricola
myotis myotis
myotis nattereri
myotis oxygnathus
myotis pequinius
myotis punicus
myotis siligorensis
myotis velifer
myotis welwitschii
nanonycteris veldkampii
neoromicia somalicus
nyctalus noctula
nyctalus plancyi
otomops martiensseni
phyllostomus discolor
phyllostomus hastatus
pipistrellus abramus
pipistrellus coromandra
pipistrellus hesperidus
pipistrellus nathusii
pipistrellus pipistrellus
pipistrellus pygmaeus
platyrrhinus lineatus
platyrrhinus recifinus
plecotus auritus
pteronotus davyi
pteronotus parnellii
pteronotus personatus
pteropus alecto
pteropus conspicillatus
pteropus dasymallus
pteropus lylei
pteropus poliocephalus
pteropus rufus
pteropus vampyrus
rhinolophus acuminatus
rhinolophus affinis
rhinolophus alcyone
rhinolophus arcuatus
rhinolophus blasii
rhinolophus borneensis
rhinolophus capensis
rhinolophus clivosus
rhinolophus cornutus
rhinolophus creaghi
rhinolophus darlingi
rhinolophus ferrumequinum
rhinolophus hipposideros
rhinolophus lepidus
rhinolophus luctus
rhinolophus macrotis
rhinolophus malayanus
rhinolophus marshalli
rhinolophus mehelyi
rhinolophus monoceros
rhinolophus pearsonii
rhinolophus philippinensis
rhinolophus pusillus
rhinolophus rex
rhinolophus shameli
rhinolophus siamensis
rhinolophus simulator
rhinolophus sinicus
rhinolophus stheno
rhinolophus thomasi
rhinolophus trifoliatus
rhinopoma hardwickii
rousettus aegyptiacus
rousettus amplexicaudatus
rousettus leschenaultii
rousettus madagascariensis
scotophilus dinganii
scotophilus kuhlii
scotophilus leucogaster
scotophilus nux
sturnira lilium
tadarida brasiliensis
taphozous melanopogon
taphozous perforatus
triaenops persicus
tylonycteris pachypus
tylonycteris robustula
uroderma bilobatum
vespadelus regulus
vespertilio murinus
vespertilio sinensis
