thresh,precision,recall,TP,FP,FN,TN,n_predicted,n_ground_pos
0.0,0.0,0.0,0,0,61,124,0,61
0.001,0.0,0.0,0,0,61,124,0,61
0.002,0.0,0.0,0,0,61,124,0,61
0.003,0.0,0.0,0,0,61,124,0,61
0.004,0.0,0.0,0,0,61,124,0,61
0.005,0.0,0.0,0,0,61,124,0,61
0.006,0.0,0.0,0,0,61,124,0,61
0.007,0.0,0.0,0,0,61,124,0,61
0.008,0.0,0.0,0,0,61,124,0,61
0.009000000000000001,0.0,0.0,0,0,61,124,0,61
0.01,0.0,0.0,0,0,61,124,0,61
0.011,0.0,0.0,0,0,61,124,0,61
0.012,0.0,0.0,0,0,61,124,0,61
0.013000000000000001,0.0,0.0,0,0,61,124,0,61
0.014,0.0,0.0,0,0,61,124,0,61
0.015,1.0,0.01639344262295082,1,0,60,124,1,61
0.016,1.0,0.01639344262295082,1,0,60,124,1,61
0.017,1.0,0.01639344262295082,1,0,60,124,1,61
0.018000000000000002,1.0,0.01639344262295082,1,0,60,124,1,61
0.019,1.0,0.01639344262295082,1,0,60,124,1,61
0.02,1.0,0.01639344262295082,1,0,60,124,1,61
0.021,1.0,0.04918032786885246,3,0,58,124,3,61
0.022,1.0,0.04918032786885246,3,0,58,124,3,61
0.023,1.0,0.04918032786885246,3,0,58,124,3,61
0.024,1.0,0.04918032786885246,3,0,58,124,3,61
0.025,1.0,0.04918032786885246,3,0,58,124,3,61
0.026000000000000002,1.0,0.04918032786885246,3,0,58,124,3,61
0.027,1.0,0.04918032786885246,3,0,58,124,3,61
0.028,1.0,0.04918032786885246,3,0,58,124,3,61
0.029,1.0,0.04918032786885246,3,0,58,124,3,61
0.03,0.8,0.06557377049180328,4,1,57,123,5,61
0.031,0.8333333333333334,0.08196721311475409,5,1,56,123,6,61
0.032,0.8333333333333334,0.08196721311475409,5,1,56,123,6,61
0.033,0.8333333333333334,0.08196721311475409,5,1,56,123,6,61
0.034,0.8333333333333334,0.08196721311475409,5,1,56,123,6,61
0.035,0.8333333333333334,0.08196721311475409,5,1,56,123,6,61
0.036000000000000004,0.7142857142857143,0.08196721311475409,5,2,56,122,7,61
0.037,0.7142857142857143,0.08196721311475409,5,2,56,122,7,61
0.038,0.75,0.09836065573770492,6,2,55,122,8,61
