Sp,Binary,Ensemble.2,EnsembleBinary,Sp_clean,score
Cynopterus sphinx,1,0.014043803102009807,TRUE,cynopterus sphinx,0.014043803102009807
Rousettus leschenaultii,1,0.02098946750060584,TRUE,rousettus leschenaultii,0.02098946750060584
Rousettus aegyptiacus,1,0.020797404066976086,TRUE,rousettus aegyptiacus,0.020797404066976086
Rhinolophus ferrumequinum,1,0.037703982940349046,TRUE,rhinolophus ferrumequinum,0.037703982940349046
Eonycteris spelaea,1,0.029911399607228863,TRUE,eonycteris spelaea,0.029911399607228863
Eidolon helvum,1,0.03022463859960887,TRUE,eidolon helvum,0.03022463859960887
Cynopterus brachyotis,1,0.046579604676325825,TRUE,cynopterus brachyotis,0.046579604676325825
Rhinolophus luctus,0,0.029869251948922336,TRUE,rhinolophus luctus,0.029869251948922336
Pipistrellus pipistrellus,1,0.061798652043690075,TRUE,pipistrellus pipistrellus,0.061798652043690075
Myonycteris angolensis,1,0.03524102664381698,TRUE,myonycteris angolensis,0.03524102664381698
Rhinolophus affinis,1,0.09304930395865695,TRUE,rhinolophus affinis,0.09304930395865695
Epomophorus gambianus,1,0.08190107660286154,TRUE,epomophorus gambianus,0.08190107660286154
Hipposideros armiger,1,0.07730850253406801,TRUE,hipposideros armiger,0.07730850253406801
Miniopterus schreibersii,1,0.0993323018094869,TRUE,miniopterus schreibersii,0.0993323018094869
Myotis daubentonii,1,0.09632227767269586,TRUE,myotis daubentonii,0.09632227767269586
Rousettus amplexicaudatus,1,0.15324792851904376,TRUE,rousettus amplexicaudatus,0.15324792851904376
Rhinolophus pusillus,1,0.12427342134572102,TRUE,rhinolophus pusillus,0.12427342134572102
Pipistrellus abramus,1,0.1260125726736584,TRUE,pipistrellus abramus,0.1260125726736584
Rhinolophus pearsonii,1,0.1013924402809365,TRUE,rhinolophus pearsonii,0.1013924402809365
Rhinolophus sinicus,1,0.14122095102326962,TRUE,rhinolophus sinicus,0.14122095102326962
Rhinolophus clivosus,1,0.1756238401646467,TRUE,rhinolophus clivosus,0.1756238401646467
Epomophorus labiatus,1,0.18098673857533482,TRUE,epomophorus labiatus,0.18098673857533482
Nyctalus noctula,1,0.17197325291132876,TRUE,nyctalus noctula,0.17197325291132876
Rhinolophus blasii,1,0.11165650977069788,TRUE,rhinolophus blasii,0.11165650977069788
