
===== Running threshold 0.90 =====

Running network cut with λ = 0.100, threshold = 0.90

Running network cut with λ = 0.109, threshold = 0.90

Running network cut with λ = 0.118, threshold = 0.90

Running network cut with λ = 0.127, threshold = 0.90

Running network cut with λ = 0.136, threshold = 0.90

Running network cut with λ = 0.145, threshold = 0.90

Running network cut with λ = 0.155, threshold = 0.90

Running network cut with λ = 0.164, threshold = 0.90

Running network cut with λ = 0.173, threshold = 0.90

Running network cut with λ = 0.182, threshold = 0.90

Running network cut with λ = 0.191, threshold = 0.90

Running network cut with λ = 0.200, threshold = 0.90

Running network cut with λ = 0.209, threshold = 0.90

Running network cut with λ = 0.218, threshold = 0.90

Running network cut with λ = 0.227, threshold = 0.90

Running network cut with λ = 0.236, threshold = 0.90

Running network cut with λ = 0.245, threshold = 0.90

Running network cut with λ = 0.255, threshold = 0.90

Running network cut with λ = 0.264, threshold = 0.90

Running network cut with λ = 0.273, threshold = 0.90

Running network cut with λ = 0.282, threshold = 0.90

Running network cut with λ = 0.291, threshold = 0.90

Running network cut with λ = 0.300, threshold = 0.90

Running network cut with λ = 0.309, threshold = 0.90

Running network cut with λ = 0.318, threshold = 0.90

Running network cut with λ = 0.327, threshold = 0.90

Running network cut with λ = 0.336, threshold = 0.90

Running network cut with λ = 0.345, threshold = 0.90

Running network cut with λ = 0.355, threshold = 0.90

Running network cut with λ = 0.364, threshold = 0.90

Running network cut with λ = 0.373, threshold = 0.90

Running network cut with λ = 0.382, threshold = 0.90

Running network cut with λ = 0.391, threshold = 0.90

Running network cut with λ = 0.400, threshold = 0.90

Running network cut with λ = 0.409, threshold = 0.90

Running network cut with λ = 0.418, threshold = 0.90

Running network cut with λ = 0.427, threshold = 0.90

Running network cut with λ = 0.436, threshold = 0.90

Running network cut with λ = 0.445, threshold = 0.90

Running network cut with λ = 0.455, threshold = 0.90

Running network cut with λ = 0.464, threshold = 0.90

Running network cut with λ = 0.473, threshold = 0.90

Running network cut with λ = 0.482, threshold = 0.90

Running network cut with λ = 0.491, threshold = 0.90

Running network cut with λ = 0.500, threshold = 0.90

Running network cut with λ = 0.509, threshold = 0.90

Running network cut with λ = 0.518, threshold = 0.90

Running network cut with λ = 0.527, threshold = 0.90

Running network cut with λ = 0.536, threshold = 0.90

Running network cut with λ = 0.545, threshold = 0.90

Running network cut with λ = 0.555, threshold = 0.90

Running network cut with λ = 0.564, threshold = 0.90

Running network cut with λ = 0.573, threshold = 0.90

Running network cut with λ = 0.582, threshold = 0.90

Running network cut with λ = 0.591, threshold = 0.90

Running network cut with λ = 0.600, threshold = 0.90

Running network cut with λ = 0.609, threshold = 0.90

Running network cut with λ = 0.618, threshold = 0.90

Running network cut with λ = 0.627, threshold = 0.90

Running network cut with λ = 0.636, threshold = 0.90

Running network cut with λ = 0.645, threshold = 0.90

Running network cut with λ = 0.655, threshold = 0.90

Running network cut with λ = 0.664, threshold = 0.90

Running network cut with λ = 0.673, threshold = 0.90

Running network cut with λ = 0.682, threshold = 0.90

Running network cut with λ = 0.691, threshold = 0.90

Running network cut with λ = 0.700, threshold = 0.90

Running network cut with λ = 0.709, threshold = 0.90

Running network cut with λ = 0.718, threshold = 0.90

Running network cut with λ = 0.727, threshold = 0.90

Running network cut with λ = 0.736, threshold = 0.90

Running network cut with λ = 0.745, threshold = 0.90

Running network cut with λ = 0.755, threshold = 0.90

Running network cut with λ = 0.764, threshold = 0.90

Running network cut with λ = 0.773, threshold = 0.90

Running network cut with λ = 0.782, threshold = 0.90

Running network cut with λ = 0.791, threshold = 0.90

Running network cut with λ = 0.800, threshold = 0.90

Running network cut with λ = 0.809, threshold = 0.90

Running network cut with λ = 0.818, threshold = 0.90

Running network cut with λ = 0.827, threshold = 0.90

Running network cut with λ = 0.836, threshold = 0.90

Running network cut with λ = 0.845, threshold = 0.90

Running network cut with λ = 0.855, threshold = 0.90

Running network cut with λ = 0.864, threshold = 0.90

Running network cut with λ = 0.873, threshold = 0.90

Running network cut with λ = 0.882, threshold = 0.90

Running network cut with λ = 0.891, threshold = 0.90

Running network cut with λ = 0.900, threshold = 0.90

Running network cut with λ = 0.909, threshold = 0.90

Running network cut with λ = 0.918, threshold = 0.90

Running network cut with λ = 0.927, threshold = 0.90

Running network cut with λ = 0.936, threshold = 0.90

Running network cut with λ = 0.945, threshold = 0.90

Running network cut with λ = 0.955, threshold = 0.90

Running network cut with λ = 0.964, threshold = 0.90

Running network cut with λ = 0.973, threshold = 0.90

Running network cut with λ = 0.982, threshold = 0.90

Running network cut with λ = 0.991, threshold = 0.90

Running network cut with λ = 1.000, threshold = 0.90
Saved results for threshold=0.90 to experiments/Fresnel_Exps_hybrid/threshold_0.90
