HostTaxID,Host,HostGenus,HostFamily,HostOrder,HostClass,HostNCBIResolved
27634,artibeus lituratus,artibeus,phyllostomidae,chiroptera,mammalia,true
109485,hypsugo savii,hypsugo,vespertilionidae,chiroptera,mammalia,true
58063,eidolon dupreanum,eidolon,pteropodidae,chiroptera,mammalia,true
329870,triaenops persicus,triaenops,rhinonycteridae,chiroptera,mammalia,true
1381355,taphozous perforatus,taphozous,emballonuridae,chiroptera,mammalia,true
249034,scotophilus leucogaster,scotophilus,vespertilionidae,chiroptera,mammalia,true
258952,scotophilus dinganii,scotophilus,vespertilionidae,chiroptera,mammalia,true
178895,rhinolophus creaghi,rhinolophus,rhinolophidae,chiroptera,mammalia,true
59478,rhinolophus clivosus,rhinolophus,rhinolophidae,chiroptera,mammalia,true
98922,myotis daubentonii,myotis,vespertilionidae,chiroptera,mammalia,true
58073,megaloglossus woermanni,megaloglossus,pteropodidae,chiroptera,mammalia,true
77233,megaerops niphanae,megaerops,pteropodidae,chiroptera,mammalia,true
360967,ia io,ia,vespertilionidae,chiroptera,mammalia,true
463808,hipposideros ruber,hipposideros,hipposideridae,chiroptera,mammalia,true
58069,hipposideros galeritus,hipposideros,hipposideridae,chiroptera,mammalia,true
302402,hipposideros caffer,hipposideros,hipposideridae,chiroptera,mammalia,true
77231,epomops franqueti,epomops,pteropodidae,chiroptera,mammalia,true
903567,epomophorus labiatus,epomophorus,pteropodidae,chiroptera,mammalia,true
372077,epomophorus gambianus,epomophorus,pteropodidae,chiroptera,mammalia,true
326081,dyacopterus spadiceus,dyacopterus,pteropodidae,chiroptera,mammalia,true
40233,carollia perspicillata,carollia,phyllostomidae,chiroptera,mammalia,true
40228,artibeus obscurus,artibeus,phyllostomidae,chiroptera,mammalia,true
51300,nyctalus noctula,nyctalus,vespertilionidae,chiroptera,mammalia,true
246814,pipistrellus pygmaeus,pipistrellus,vespertilionidae,chiroptera,mammalia,true

