VirusTaxID,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified,Database
1335626,middle east respiratory syndrome-related coronavirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,predict
1805463,bat betacoronavirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
3061635,rhinolophus thomasi bat coronavirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
3068888,rhinolophus siamensis bat sarbecovirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
2833184,sarbecovirus sp.,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
864596,bat coronavirus bm48-31/bgr/2008,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,predict
3068538,horseshoe bat sarbecovirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
3418604,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,true,genbank
694009,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,true,eid2; shaw; hp3
3433764,betacoronavirus hipposideri,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,true,genbank
989337,zaria bat coronavirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank; predict
3418615,betacoronavirus rousetti,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,true,genbank
3433776,betacoronavirus tylonycteridis,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,true,genbank
2833022,nobecovirus sp.,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
2913444,rousettus madagascariensis nobecovirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
3418614,betacoronavirus eidoli,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,true,genbank
3418613,betacoronavirus cororeum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,true,genbank
2913443,pteropus rufus nobecovirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
1928434,betacoronavirus sp.,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
3433757,betacoronavirus gravedinis,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,true,genbank
3433775,betacoronavirus pipistrelli,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,true,genbank
2832974,merbecovirus sp.,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,true,false,genbank
