virus_id,host_id,virus_genus,host_name,status
11137,584995,alphacoronavirus,hipposideros fuliginosus,non_betacoronavirus
2691588,187007,alphacoronavirus,miniopterus fuliginosus,non_betacoronavirus
2691588,187008,alphacoronavirus,miniopterus fuscus,non_betacoronavirus
2691588,438766,alphacoronavirus,miniopterus magnater,non_betacoronavirus
2691588,258934,alphacoronavirus,miniopterus pusillus,non_betacoronavirus
3433780,9433,alphacoronavirus,miniopterus schreibersii,non_betacoronavirus
3433780,187008,alphacoronavirus,miniopterus fuscus,non_betacoronavirus
3433780,438766,alphacoronavirus,miniopterus magnater,non_betacoronavirus
3433780,258934,alphacoronavirus,miniopterus pusillus,non_betacoronavirus
694000,187007,alphacoronavirus,miniopterus fuliginosus,non_betacoronavirus
694000,187008,alphacoronavirus,miniopterus fuscus,non_betacoronavirus
3119327,187007,,miniopterus fuliginosus,virus_unknown
3119327,9433,,miniopterus schreibersii,virus_unknown
3119327,187008,,miniopterus fuscus,virus_unknown
3119327,438766,,miniopterus magnater,virus_unknown
3119327,258934,,miniopterus pusillus,virus_unknown
2809631,187007,,miniopterus fuliginosus,virus_unknown
2809631,187008,,miniopterus fuscus,virus_unknown
2809631,438766,,miniopterus magnater,virus_unknown
2809631,258934,,miniopterus pusillus,virus_unknown
694001,187007,alphacoronavirus,miniopterus fuliginosus,non_betacoronavirus
694001,187008,alphacoronavirus,miniopterus fuscus,non_betacoronavirus
1335626,105295,betacoronavirus,pipistrellus abramus,correct
1335626,258946,betacoronavirus,pipistrellus coromandra,incorrect_but_unlikely
1335626,187011,betacoronavirus,nyctalus plancyi,incorrect_but_unlikely
1335626,375553,betacoronavirus,nyctalus plancyi,incorrect_but_unlikely
1335626,51300,betacoronavirus,nyctalus noctula,correct
1335626,246814,betacoronavirus,pipistrellus pygmaeus,correct
1335626,59473,betacoronavirus,pipistrellus nathusii,correct
1335626,110941,betacoronavirus,macronycteris commersonii,host not in dataset
1335626,2603869,betacoronavirus,macronycteris vittatus,host not in dataset
1335626,188568,betacoronavirus,aselliscus stoliczkanus,correct
1335626,1207989,betacoronavirus,hipposideros lekaguli,incorrect_but_unlikely
1335626,188569,betacoronavirus,hipposideros pratti,correct
1335626,59453,betacoronavirus,hipposideros diadema,incorrect_but_unlikely
1335626,175524,betacoronavirus,hipposideros larvatus,incorrect_but_suspected
1335626,186990,betacoronavirus,hipposideros armiger,correct
1335626,186991,betacoronavirus,hipposideros armiger,correct
1335626,157961,betacoronavirus,hipposideros bicolor,incorrect_but_suspected
1335626,270698,betacoronavirus,hipposideros cineraceus,incorrect_but_unlikely
1335626,334201,betacoronavirus,hipposideros pomona,incorrect_but_suspected
1335626,249020,betacoronavirus,hipposideros abae,incorrect_but_unlikely
1335626,584995,betacoronavirus,hipposideros fuliginosus,incorrect_but_suspected
1335626,302402,betacoronavirus,hipposideros caffer,correct
1335626,463808,betacoronavirus,hipposideros ruber,correct
1335626,170233,betacoronavirus,hipposideros cervinus,incorrect_but_suspected
1335626,58069,betacoronavirus,hipposideros galeritus,correct
1335626,159858,betacoronavirus,rhinolophus pusillus,correct
1335626,376555,betacoronavirus,rhinolophus pusillus,correct
1335626,169756,betacoronavirus,rhinolophus monoceros,incorrect_but_negative
1335626,188570,betacoronavirus,rhinolophus lepidus,incorrect_but_suspected
1335626,196296,betacoronavirus,rhinolophus cornutus,correct
1335626,188572,betacoronavirus,rhinolophus rex,correct
1335626,196889,betacoronavirus,rhinolophus macrotis,correct
1335626,867892,betacoronavirus,rhinolophus siamensis,incorrect_but_suspected
1335626,476588,betacoronavirus,rhinolophus marshalli,incorrect_but_suspected
1335626,337452,betacoronavirus,rhinolophus borneensis,incorrect_but_suspected
1335626,76837,betacoronavirus,rhinolophus philippinensis,incorrect_but_suspected
1335626,320431,betacoronavirus,rhinolophus acuminatus,incorrect_but_suspected
1335626,608659,betacoronavirus,rhinolophus malayanus,incorrect_but_suspected
1335626,178895,betacoronavirus,rhinolophus creaghi,correct
1335626,76834,betacoronavirus,rhinolophus arcuatus,incorrect_but_suspected
1335626,608708,betacoronavirus,rhinolophus shameli,incorrect_but_suspected
1335626,59477,betacoronavirus,rhinolophus affinis,correct
1335626,430491,betacoronavirus,rhinolophus stheno,incorrect_but_suspected
1335626,476589,betacoronavirus,rhinolophus thomasi,correct
1335626,89399,betacoronavirus,rhinolophus sinicus,correct
1335626,188571,betacoronavirus,rhinolophus pearsonii,correct
1335626,249024,betacoronavirus,rhinolophus alcyone,incorrect_but_suspected
1335626,2603865,betacoronavirus,rhinolophus lobatus,host not in dataset
1335626,2603866,betacoronavirus,rhinolophus rhodesiae,host not in dataset
1335626,519041,betacoronavirus,rhinolophus simulator,incorrect_but_unlikely
1335626,302408,betacoronavirus,rhinolophus capensis,incorrect_but_unlikely
1335626,49443,betacoronavirus,rhinolophus darlingi,incorrect_but_suspected
1335626,59478,betacoronavirus,rhinolophus clivosus,correct
1335626,59479,betacoronavirus,rhinolophus ferrumequinum,correct
1335626,342862,betacoronavirus,rhinolophus mehelyi,correct
1335626,519037,betacoronavirus,rhinolophus blasii,correct
1335626,337453,betacoronavirus,rhinolophus luctus,incorrect_but_suspected
1335626,430492,betacoronavirus,rhinolophus trifoliatus,incorrect_but_suspected
1335626,77218,betacoronavirus,rhinolophus hipposideros,correct
1335626,1195082,betacoronavirus,triaenops menamena,host not in dataset
1335626,329870,betacoronavirus,triaenops persicus,correct
1335626,549403,betacoronavirus,triaenops afer,host not in dataset
1335626,3371112,betacoronavirus,lyroderma lyra,host not in dataset
1335626,124756,betacoronavirus,rhinopoma hardwickii,correct
1335626,132908,betacoronavirus,pteropus vampyrus,incorrect_but_suspected
1335626,166054,betacoronavirus,pteropus lylei,incorrect_but_suspected
1335626,196297,betacoronavirus,pteropus rufus,incorrect_but_negative
1335626,385575,betacoronavirus,pteropus dasymallus,incorrect_but_suspected
1335626,328804,betacoronavirus,pteropus conspicillatus,incorrect_but_suspected
1335626,9402,betacoronavirus,pteropus alecto,correct
