thresh,precision,recall,TP,FP,FN,TN,n_predicted,n_ground_pos
0.0,0.0,0.0,0,0,62,123,0,62
0.001,1.0,0.016129032258064516,1,0,61,123,1,62
0.002,1.0,0.03225806451612903,2,0,60,123,2,62
0.003,1.0,0.03225806451612903,2,0,60,123,2,62
0.004,1.0,0.04838709677419355,3,0,59,123,3,62
0.005,1.0,0.06451612903225806,4,0,58,123,4,62
0.006,1.0,0.08064516129032258,5,0,57,123,5,62
0.007,1.0,0.0967741935483871,6,0,56,123,6,62
0.008,1.0,0.11290322580645161,7,0,55,123,7,62
0.009,1.0,0.12903225806451613,8,0,54,123,8,62
0.01,1.0,0.14516129032258066,9,0,53,123,9,62
0.011,1.0,0.14516129032258066,9,0,53,123,9,62
0.012,1.0,0.14516129032258066,9,0,53,123,9,62
0.013,1.0,0.16129032258064516,10,0,52,123,10,62
0.014,1.0,0.16129032258064516,10,0,52,123,10,62
0.015,1.0,0.16129032258064516,10,0,52,123,10,62
0.016,1.0,0.1774193548387097,11,0,51,123,11,62
0.017,1.0,0.1935483870967742,12,0,50,123,12,62
0.018,1.0,0.1935483870967742,12,0,50,123,12,62
0.019,0.9230769230769231,0.1935483870967742,12,1,50,122,13,62
0.02,0.9285714285714286,0.20967741935483872,13,1,49,122,14,62
0.021,0.9333333333333333,0.22580645161290322,14,1,48,122,15,62
0.022,0.9375,0.24193548387096775,15,1,47,122,16,62
0.023,0.9375,0.24193548387096775,15,1,47,122,16,62
0.024,0.9411764705882353,0.25806451612903225,16,1,46,122,17,62
0.025,0.9444444444444444,0.27419354838709675,17,1,45,122,18,62
0.026,0.9473684210526315,0.2903225806451613,18,1,44,122,19,62
0.027,0.9473684210526315,0.2903225806451613,18,1,44,122,19,62
0.028,0.9473684210526315,0.2903225806451613,18,1,44,122,19,62
0.029,0.95,0.3064516129032258,19,1,43,122,20,62
0.03,0.95,0.3064516129032258,19,1,43,122,20,62
0.031,0.95,0.3064516129032258,19,1,43,122,20,62
0.032,0.9523809523809523,0.3225806451612903,20,1,42,122,21,62
0.033,0.9545454545454546,0.3387096774193548,21,1,41,122,22,62
0.034,0.9565217391304348,0.3548387096774194,22,1,40,122,23,62
0.035,0.9565217391304348,0.3548387096774194,22,1,40,122,23,62
0.036,0.9565217391304348,0.3548387096774194,22,1,40,122,23,62
0.037,0.9565217391304348,0.3548387096774194,22,1,40,122,23,62
0.038,0.9565217391304348,0.3548387096774194,22,1,40,122,23,62
0.039,0.9583333333333334,0.3709677419354839,23,1,39,122,24,62
0.04,0.9583333333333334,0.3709677419354839,23,1,39,122,24,62
0.041,0.96,0.3870967741935484,24,1,38,122,25,62
0.042,0.9230769230769231,0.3870967741935484,24,2,38,121,26,62
0.043,0.8888888888888888,0.3870967741935484,24,3,38,120,27,62
0.044,0.8888888888888888,0.3870967741935484,24,3,38,120,27,62
0.045,0.8888888888888888,0.3870967741935484,24,3,38,120,27,62
0.046,0.8888888888888888,0.3870967741935484,24,3,38,120,27,62
0.047,0.8888888888888888,0.3870967741935484,24,3,38,120,27,62
0.048,0.8888888888888888,0.3870967741935484,24,3,38,120,27,62
0.049,0.8888888888888888,0.3870967741935484,24,3,38,120,27,62
0.05,0.8928571428571429,0.4032258064516129,25,3,37,120,28,62
0.051,0.8928571428571429,0.4032258064516129,25,3,37,120,28,62
0.052,0.8928571428571429,0.4032258064516129,25,3,37,120,28,62
0.053,0.8928571428571429,0.4032258064516129,25,3,37,120,28,62
0.054,0.8928571428571429,0.4032258064516129,25,3,37,120,28,62
0.055,0.8620689655172413,0.4032258064516129,25,4,37,119,29,62
0.056,0.8620689655172413,0.4032258064516129,25,4,37,119,29,62
0.057,0.8333333333333334,0.4032258064516129,25,5,37,118,30,62
0.058,0.8333333333333334,0.4032258064516129,25,5,37,118,30,62
0.059,0.8387096774193549,0.41935483870967744,26,5,36,118,31,62
0.06,0.8387096774193549,0.41935483870967744,26,5,36,118,31,62
0.061,0.8125,0.41935483870967744,26,6,36,117,32,62
0.062,0.8125,0.41935483870967744,26,6,36,117,32,62
0.063,0.8125,0.41935483870967744,26,6,36,117,32,62
0.064,0.7878787878787878,0.41935483870967744,26,7,36,116,33,62
0.065,0.7941176470588235,0.43548387096774194,27,7,35,116,34,62
0.066,0.7941176470588235,0.43548387096774194,27,7,35,116,34,62
0.067,0.7941176470588235,0.43548387096774194,27,7,35,116,34,62
0.068,0.8,0.45161290322580644,28,7,34,116,35,62
0.069,0.8,0.45161290322580644,28,7,34,116,35,62
0.07,0.8,0.45161290322580644,28,7,34,116,35,62
0.071,0.7777777777777778,0.45161290322580644,28,8,34,115,36,62
0.072,0.7777777777777778,0.45161290322580644,28,8,34,115,36,62
0.073,0.7777777777777778,0.45161290322580644,28,8,34,115,36,62
0.074,0.7777777777777778,0.45161290322580644,28,8,34,115,36,62
0.075,0.7567567567567568,0.45161290322580644,28,9,34,114,37,62
0.076,0.7631578947368421,0.46774193548387094,29,9,33,114,38,62
0.077,0.7631578947368421,0.46774193548387094,29,9,33,114,38,62
0.078,0.7631578947368421,0.46774193548387094,29,9,33,114,38,62
0.079,0.7692307692307693,0.4838709677419355,30,9,32,114,39,62
0.08,0.7692307692307693,0.4838709677419355,30,9,32,114,39,62
0.081,0.775,0.5,31,9,31,114,40,62
0.082,0.775,0.5,31,9,31,114,40,62
0.083,0.775,0.5,31,9,31,114,40,62
0.084,0.7804878048780488,0.5161290322580645,32,9,30,114,41,62
0.085,0.7804878048780488,0.5161290322580645,32,9,30,114,41,62
0.086,0.7804878048780488,0.5161290322580645,32,9,30,114,41,62
0.087,0.7857142857142857,0.532258064516129,33,9,29,114,42,62
0.088,0.7906976744186046,0.5483870967741935,34,9,28,114,43,62
0.089,0.7727272727272727,0.5483870967741935,34,10,28,113,44,62
0.09,0.7727272727272727,0.5483870967741935,34,10,28,113,44,62
0.091,0.7777777777777778,0.5645161290322581,35,10,27,113,45,62
0.092,0.7608695652173914,0.5645161290322581,35,11,27,112,46,62
0.093,0.7608695652173914,0.5645161290322581,35,11,27,112,46,62
0.094,0.7659574468085106,0.5806451612903226,36,11,26,112,47,62
0.095,0.7659574468085106,0.5806451612903226,36,11,26,112,47,62
0.096,0.75,0.5806451612903226,36,12,26,111,48,62
0.097,0.75,0.5806451612903226,36,12,26,111,48,62
0.098,0.75,0.5806451612903226,36,12,26,111,48,62
0.099,0.75,0.5806451612903226,36,12,26,111,48,62
0.1,0.7346938775510204,0.5806451612903226,36,13,26,110,49,62
0.101,0.7346938775510204,0.5806451612903226,36,13,26,110,49,62
0.102,0.7346938775510204,0.5806451612903226,36,13,26,110,49,62
0.103,0.7346938775510204,0.5806451612903226,36,13,26,110,49,62
0.104,0.72,0.5806451612903226,36,14,26,109,50,62
0.105,0.7058823529411765,0.5806451612903226,36,15,26,108,51,62
0.106,0.7058823529411765,0.5806451612903226,36,15,26,108,51,62
0.107,0.7115384615384616,0.5967741935483871,37,15,25,108,52,62
0.108,0.7115384615384616,0.5967741935483871,37,15,25,108,52,62
0.109,0.6981132075471698,0.5967741935483871,37,16,25,107,53,62
0.11,0.6981132075471698,0.5967741935483871,37,16,25,107,53,62
0.111,0.6981132075471698,0.5967741935483871,37,16,25,107,53,62
0.112,0.6981132075471698,0.5967741935483871,37,16,25,107,53,62
0.113,0.7037037037037037,0.6129032258064516,38,16,24,107,54,62
0.114,0.7090909090909091,0.6290322580645161,39,16,23,107,55,62
0.115,0.7090909090909091,0.6290322580645161,39,16,23,107,55,62
0.116,0.7142857142857143,0.6451612903225806,40,16,22,107,56,62
0.117,0.7192982456140351,0.6612903225806451,41,16,21,107,57,62
0.118,0.7241379310344828,0.6774193548387096,42,16,20,107,58,62
0.119,0.7241379310344828,0.6774193548387096,42,16,20,107,58,62
0.12,0.7241379310344828,0.6774193548387096,42,16,20,107,58,62
0.121,0.7288135593220338,0.6935483870967742,43,16,19,107,59,62
0.122,0.7288135593220338,0.6935483870967742,43,16,19,107,59,62
0.123,0.7288135593220338,0.6935483870967742,43,16,19,107,59,62
0.124,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.125,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.126,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.127,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.128,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.129,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.13,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.131,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.132,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.133,0.7166666666666667,0.6935483870967742,43,17,19,106,60,62
0.134,0.7049180327868853,0.6935483870967742,43,18,19,105,61,62
0.135,0.7049180327868853,0.6935483870967742,43,18,19,105,61,62
0.136,0.7049180327868853,0.6935483870967742,43,18,19,105,61,62
0.137,0.7096774193548387,0.7096774193548387,44,18,18,105,62,62
0.138,0.7096774193548387,0.7096774193548387,44,18,18,105,62,62
0.139,0.7096774193548387,0.7096774193548387,44,18,18,105,62,62
0.14,0.7096774193548387,0.7096774193548387,44,18,18,105,62,62
0.141,0.7096774193548387,0.7096774193548387,44,18,18,105,62,62
0.142,0.7096774193548387,0.7096774193548387,44,18,18,105,62,62
0.143,0.7096774193548387,0.7096774193548387,44,18,18,105,62,62
0.144,0.7096774193548387,0.7096774193548387,44,18,18,105,62,62
0.145,0.7142857142857143,0.7258064516129032,45,18,17,105,63,62
0.146,0.7142857142857143,0.7258064516129032,45,18,17,105,63,62
0.147,0.703125,0.7258064516129032,45,19,17,104,64,62
0.148,0.7076923076923077,0.7419354838709677,46,19,16,104,65,62
0.149,0.7076923076923077,0.7419354838709677,46,19,16,104,65,62
0.15,0.7121212121212122,0.7580645161290323,47,19,15,104,66,62
0.151,0.7121212121212122,0.7580645161290323,47,19,15,104,66,62
0.152,0.7121212121212122,0.7580645161290323,47,19,15,104,66,62
0.153,0.7164179104477612,0.7741935483870968,48,19,14,104,67,62
0.154,0.7164179104477612,0.7741935483870968,48,19,14,104,67,62
0.155,0.7164179104477612,0.7741935483870968,48,19,14,104,67,62
0.156,0.7164179104477612,0.7741935483870968,48,19,14,104,67,62
0.157,0.7058823529411765,0.7741935483870968,48,20,14,103,68,62
0.158,0.7101449275362319,0.7903225806451613,49,20,13,103,69,62
0.159,0.7101449275362319,0.7903225806451613,49,20,13,103,69,62
0.16,0.7101449275362319,0.7903225806451613,49,20,13,103,69,62
0.161,0.7101449275362319,0.7903225806451613,49,20,13,103,69,62
0.162,0.7101449275362319,0.7903225806451613,49,20,13,103,69,62
0.163,0.7101449275362319,0.7903225806451613,49,20,13,103,69,62
0.164,0.7142857142857143,0.8064516129032258,50,20,12,103,70,62
0.165,0.7142857142857143,0.8064516129032258,50,20,12,103,70,62
0.166,0.704225352112676,0.8064516129032258,50,21,12,102,71,62
0.167,0.704225352112676,0.8064516129032258,50,21,12,102,71,62
0.168,0.704225352112676,0.8064516129032258,50,21,12,102,71,62
0.169,0.704225352112676,0.8064516129032258,50,21,12,102,71,62
0.17,0.7083333333333334,0.8225806451612904,51,21,11,102,72,62
0.171,0.7083333333333334,0.8225806451612904,51,21,11,102,72,62
0.172,0.6986301369863014,0.8225806451612904,51,22,11,101,73,62
0.173,0.6986301369863014,0.8225806451612904,51,22,11,101,73,62
0.174,0.7027027027027027,0.8387096774193549,52,22,10,101,74,62
0.175,0.7027027027027027,0.8387096774193549,52,22,10,101,74,62
0.176,0.7066666666666667,0.8548387096774194,53,22,9,101,75,62
0.177,0.7066666666666667,0.8548387096774194,53,22,9,101,75,62
0.178,0.7066666666666667,0.8548387096774194,53,22,9,101,75,62
0.179,0.7066666666666667,0.8548387096774194,53,22,9,101,75,62
0.18,0.7066666666666667,0.8548387096774194,53,22,9,101,75,62
0.181,0.7066666666666667,0.8548387096774194,53,22,9,101,75,62
0.182,0.6973684210526315,0.8548387096774194,53,23,9,100,76,62
0.183,0.6973684210526315,0.8548387096774194,53,23,9,100,76,62
0.184,0.6973684210526315,0.8548387096774194,53,23,9,100,76,62
0.185,0.6973684210526315,0.8548387096774194,53,23,9,100,76,62
0.186,0.6973684210526315,0.8548387096774194,53,23,9,100,76,62
0.187,0.7012987012987013,0.8709677419354839,54,23,8,100,77,62
0.188,0.7012987012987013,0.8709677419354839,54,23,8,100,77,62
0.189,0.7012987012987013,0.8709677419354839,54,23,8,100,77,62
0.19,0.7012987012987013,0.8709677419354839,54,23,8,100,77,62
0.191,0.7012987012987013,0.8709677419354839,54,23,8,100,77,62
0.192,0.7012987012987013,0.8709677419354839,54,23,8,100,77,62
0.193,0.7012987012987013,0.8709677419354839,54,23,8,100,77,62
0.194,0.6923076923076923,0.8709677419354839,54,24,8,99,78,62
0.195,0.6923076923076923,0.8709677419354839,54,24,8,99,78,62
0.196,0.6923076923076923,0.8709677419354839,54,24,8,99,78,62
0.197,0.6835443037974683,0.8709677419354839,54,25,8,98,79,62
0.198,0.6835443037974683,0.8709677419354839,54,25,8,98,79,62
0.199,0.6835443037974683,0.8709677419354839,54,25,8,98,79,62
0.2,0.6875,0.8870967741935484,55,25,7,98,80,62
0.201,0.691358024691358,0.9032258064516129,56,25,6,98,81,62
0.202,0.691358024691358,0.9032258064516129,56,25,6,98,81,62
0.203,0.691358024691358,0.9032258064516129,56,25,6,98,81,62
0.204,0.691358024691358,0.9032258064516129,56,25,6,98,81,62
0.205,0.691358024691358,0.9032258064516129,56,25,6,98,81,62
0.206,0.6829268292682927,0.9032258064516129,56,26,6,97,82,62
0.207,0.6829268292682927,0.9032258064516129,56,26,6,97,82,62
0.208,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.209,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.21,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.211,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.212,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.213,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.214,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.215,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.216,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.217,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.218,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.219,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.22,0.6746987951807228,0.9032258064516129,56,27,6,96,83,62
0.221,0.6785714285714286,0.9193548387096774,57,27,5,96,84,62
0.222,0.6785714285714286,0.9193548387096774,57,27,5,96,84,62
0.223,0.6785714285714286,0.9193548387096774,57,27,5,96,84,62
0.224,0.6785714285714286,0.9193548387096774,57,27,5,96,84,62
0.225,0.6785714285714286,0.9193548387096774,57,27,5,96,84,62
0.226,0.6785714285714286,0.9193548387096774,57,27,5,96,84,62
0.227,0.6705882352941176,0.9193548387096774,57,28,5,95,85,62
0.228,0.6705882352941176,0.9193548387096774,57,28,5,95,85,62
0.229,0.6627906976744186,0.9193548387096774,57,29,5,94,86,62
0.23,0.6627906976744186,0.9193548387096774,57,29,5,94,86,62
0.231,0.6627906976744186,0.9193548387096774,57,29,5,94,86,62
0.232,0.6627906976744186,0.9193548387096774,57,29,5,94,86,62
0.233,0.6627906976744186,0.9193548387096774,57,29,5,94,86,62
0.234,0.6627906976744186,0.9193548387096774,57,29,5,94,86,62
