Sp,P.Stock1,P_rank,R.Stock1,R.Stock1_prop
Eidolon helvum,0.531223429494679,1014.0,41.0,0.03891789273849074
Epomophorus gambianus,0.576009455552342,1028.0,27.0,0.025628856193640248
Epomops franqueti,0.430722965023431,935.0,120.0,0.11390602752728998
Hypsignathus monstrosus,0.234531850947311,710.0,345.0,0.3274798291409587
Micropteropus pusillus,0.490498532108565,990.0,65.0,0.061699098243948744
Miniopterus inflatus,0.232269203401692,702.0,353.0,0.3350735643094447
Miniopterus schreibersii,0.469923851911705,975.0,80.0,0.07593735168485999
Mops condylurus,0.348385870838307,876.0,179.0,0.16990982439487423
Myonycteris torquata,0.394597719288159,914.0,141.0,0.13383958234456572
Rhinolophus eloquens,0.462329179461715,969.0,86.0,0.08163265306122448
Rousettus aegyptiacus,0.609351154323455,1038.0,17.0,0.01613668723303275
Rousettus amplexicaudatus,0.610401315190508,1039.0,16.0,0.015187470336971999
Cynopterus brachyotis,0.548291531986456,1021.0,34.0,0.0322733744660655
Cynopterus sphinx,0.596249150177036,1034.0,21.0,0.019933554817275746
Emballonura alecto,0.112329896088669,314.0,741.0,0.7033697199810157
Eonycteris spelaea,0.578234284293689,1030.0,25.0,0.023730422401518746
Epomops buettikoferi,0.44459191644004,946.0,109.0,0.10346464167062173
Haplonycteris fischeri,0.316830271100457,855.0,200.0,0.18984337921214997
Hipposideros armiger,0.469081319634966,972.0,83.0,0.07878500237304224
Hipposideros caffer,0.483301832213823,984.0,71.0,0.06739439962031324
Hipposideros cineraceus,0.220745328130725,666.0,389.0,0.3692453725676317
Hipposideros commersoni,0.374269342168425,893.0,162.0,0.1537731371618415
Hipposideros diadema,0.277592516447168,800.0,255.0,0.24205030849549122
Hipposideros larvatus,0.278843587186588,801.0,254.0,0.24110109159943047
Hipposideros pomona,0.345964730682151,874.0,181.0,0.17180825818699572
Lissonycteris angolensis,0.532035778043031,1015.0,40.0,0.037968675842429994
Macroglossus minimus,0.241355344221018,727.0,328.0,0.31134314190792595
Miniopterus australis,0.184609735441264,581.0,474.0,0.44992880873279545
Miniopterus pusillus,0.140309746680017,424.0,631.0,0.5989558614143332
Miniopterus tristis,0.141436594765517,432.0,623.0,0.5913621262458472
Myotis chinensis,0.109279213573315,302.0,753.0,0.7147603227337447
Myotis daubentonii,0.378936517440278,897.0,158.0,0.1499762695775985
Myotis davidii,0.0857537743334,220.0,835.0,0.7925961082107261
Myotis fimbriatus,0.217673572505876,654.0,401.0,0.3806359753203607
Nanonycteris veldkampii,0.35615065883974,881.0,174.0,0.16516373991457048
Nycteris hispida,0.137997113197042,411.0,644.0,0.6112956810631229
Pipistrellus javanicus,0.350484048424264,877.0,178.0,0.16896060749881348
Pipistrellus pipistrellus,0.514110982740336,1003.0,52.0,0.04935927859515899
Ptenochirus jagori,0.51936722651131,1006.0,49.0,0.046511627906976744
Rhinolophus affinis,0.578184922237807,1029.0,26.0,0.024679639297579496
Rhinolophus arcuatus,0.437790801460654,941.0,114.0,0.10821072615092549
Rhinolophus ferrumequinum,0.874326475673618,1054.0,1.0,0.0009492168960607499
Rhinolophus pearsonii,0.714913943815014,1050.0,5.0,0.004746084480303749
Rhinolophus pusillus,0.645411947425658,1045.0,10.0,0.009492168960607499
Rhinolophus rufus,0.481298473482523,983.0,72.0,0.068343616516374
Rhinolophus sinicus,0.828497615822563,1053.0,2.0,0.0018984337921214998
Rousettus leschenaultii,0.772891645872987,1051.0,4.0,0.0037968675842429997
Scotophilus kuhlii,0.302509769704373,836.0,219.0,0.20787850023730423
Myotis ricketti,0.329527655283461,867.0,188.0,0.17845277645942098
Acerodon celebensis,0.221460972208722,669.0,386.0,0.36639772187944947
Acerodon humilis,0.249994699119348,752.0,303.0,0.2876127195064072
Acerodon jubatus,0.200675854736986,618.0,437.0,0.4148077835785477
Acerodon leucotis,0.239547682430888,725.0,330.0,0.31324157570004746
Acerodon mackloti,0.266942647612587,788.0,267.0,0.2534409112482202
Aethalops aequalis,0.320482201913672,860.0,195.0,0.18509729473184622
Aethalops alecto,0.308337958739402,843.0,212.0,0.201233981964879
Alionycteris paucidentata,0.290248175784615,817.0,238.0,0.22591362126245848
Ametrida centurio,0.0574492028720443,105.0,950.0,0.9017560512577124
Amorphochilus schnablii,0.138789100376857,416.0,639.0,0.6065495965828192
Anoura caudifer,0.0837102205272883,208.0,847.0,0.8039867109634552
Anoura cultrata,0.125848216959213,367.0,688.0,0.6530612244897959
Anoura geoffroyi,0.07967301776277,191.0,864.0,0.8201233981964879
Anoura latidens,0.0807344837893578,195.0,860.0,0.8163265306122449
Anthops ornatus,0.30975403232325,847.0,208.0,0.19743711438063596
Antrozous pallidus,0.221594909662763,670.0,385.0,0.3654485049833887
Aproteles bulmerae,0.298799503613631,828.0,227.0,0.21547223540579022
Ardops nichollsi,0.10160473291632,282.0,773.0,0.7337446606549597
Arielulus circumdatus,0.163753194429617,515.0,540.0,0.512577123872805
Arielulus cuprosus,0.108130457128764,300.0,755.0,0.7166587565258662
Arielulus societatis,0.0698764550440325,156.0,899.0,0.8533459895586142
Ariteus flavescens,0.0607943896701606,120.0,935.0,0.8875177978168012
Artibeus amplus,0.229030768446274,690.0,365.0,0.3464641670621737
Artibeus anderseni,0.16251015467912,510.0,545.0,0.5173232083531086
Artibeus aztecus,0.129981120900476,383.0,672.0,0.6378737541528239
Artibeus cinereus,0.0792311157134633,189.0,866.0,0.8220218319886095
Artibeus concolor,0.120404181338417,347.0,708.0,0.6720455624110109
Artibeus fimbriatus,0.177880568974947,567.0,488.0,0.4632178452776459
Artibeus fraterculus,0.160397751547107,507.0,548.0,0.5201708590412909
Artibeus glaucus,0.0942660661724372,250.0,805.0,0.7641196013289037
Artibeus gnomus,0.0842172951386008,211.0,844.0,0.8011390602752729
Artibeus hirsutus,0.145968602559461,454.0,601.0,0.5704793545325106
Artibeus inopinatus,0.162262283949555,509.0,546.0,0.5182724252491694
Artibeus jamaicensis,0.258082887226002,770.0,285.0,0.2705268153773137
Artibeus lituratus,0.427503372048132,932.0,123.0,0.11675367821547224
Artibeus obscurus,0.236499272964972,718.0,337.0,0.3198860939724727
Artibeus phaeotis,0.223428974434433,677.0,378.0,0.3588039867109635
Artibeus toltecus,0.0877368690633158,231.0,824.0,0.7821547223540579
Artibeus watsoni,0.0947652919156456,253.0,802.0,0.7612719506407214
Asellia patrizii,0.364595836147513,886.0,169.0,0.16041765543426673
Asellia tridens,0.47249047192801,978.0,77.0,0.07308970099667775
Aselliscus stoliczkanus,0.423217639529235,931.0,124.0,0.11770289511153298
Aselliscus tricuspidatus,0.216866412679366,652.0,403.0,0.3825344091124822
Balantiopteryx infusca,0.114508055947985,324.0,731.0,0.6938775510204082
Balantiopteryx io,0.0993547610582676,272.0,783.0,0.7432368296155671
Balantiopteryx plicata,0.154237375009679,481.0,574.0,0.5448504983388704
Balionycteris maculata,0.306012661089399,840.0,215.0,0.20408163265306123
Barbastella barbastellus,0.195565582836719,604.0,451.0,0.42809682012339817
Barbastella leucomelas,0.211935312755101,640.0,415.0,0.3939250118652112
Bauerus dubiaquercus,0.128275718055394,374.0,681.0,0.6464167062173707
Brachyphylla cavernarum,0.165056153065966,520.0,535.0,0.5078310393925012
Brachyphylla nana,0.137590747119944,409.0,646.0,0.6131941148552444
Cardioderma cor,0.238504907476754,723.0,332.0,0.31514000949216897
Carollia brevicauda,0.169806090124719,536.0,519.0,0.4926435690555292
Carollia castanea,0.084569901483966,212.0,843.0,0.8001898433792122
