Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,Release_Date,Collection_Date,NCBIAccession
,bat betacoronavirus,109484,1805463,TRUE,TRUE,FALSE,hypsugo,vespertilionidae,chiroptera,mammalia,Hypsugo,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Bat betacoronavirus,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2020,6,1,,,,,,2020-06-01,,"MN312647.1, MN312851.1"
,bat betacoronavirus,27671,1805463,TRUE,TRUE,FALSE,pipistrellus,vespertilionidae,chiroptera,mammalia,Pipistrellus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Bat betacoronavirus,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2020,6,1,,,,,,2020-06-01,,MN312676.1
,bat betacoronavirus,49442,1805463,TRUE,TRUE,FALSE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Bat betacoronavirus,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2020,6,1,,,,,,2020-06-01,,"MN312632.1, MN312633.1, MN312635.1, MN312636.1, MN312671.1, MN312672.1, MN312673.1"
,bat betacoronavirus,9397,1805463,TRUE,TRUE,FALSE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Bat betacoronavirus,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2018,11,21,2016,10,14,,,2018-11-21,2016-10-14,MG310223.1
,bat coronavirus bm48-31/bgr/2008,124754,864596,TRUE,TRUE,FALSE,,Rhinopomatidae,chiroptera,Mammalia,Rhinopomatidae,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus BM48-31/BGR/2008,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,9,1,,,,,
,bat coronavirus bm48-31/bgr/2008,49442,864596,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus BM48-31/BGR/2008,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,7,1,,,,,
,bat coronavirus bm48-31/bgr/2008,9397,864596,TRUE,TRUE,FALSE,,,chiroptera,Mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Bat Coronavirus BM48-31/BGR/2008,FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2016,11,1,,,,,
,betacoronavirus 1,49442,694003,TRUE,TRUE,FALSE,Rhinolophus,Rhinolophidae,chiroptera,Mammalia,Rhinolophus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,strain of Betacoronavirus 1 (bat),FALSE,PCR/Sequencing,PREDICT,PREDICT,March92021FlatFile,,,,2021,3,9,2017,8,1,,,,,
,betacoronavirus cameli,109484,3433633,TRUE,TRUE,TRUE,hypsugo,vespertilionidae,chiroptera,mammalia,Hypsugo,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus cameli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2020,6,1,,,,,,2020-06-01,,MN312850.1
,betacoronavirus cameli,27671,3433633,TRUE,TRUE,TRUE,pipistrellus,vespertilionidae,chiroptera,mammalia,Pipistrellus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus cameli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2017,11,14,2013,2,19,,,2017-11-14,2013-02-19,KX285225.1
,betacoronavirus cameli,9397,3433633,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus cameli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2022,12,1,2020,3,,,,2022-12-01,2020-03,"OM103587.1, OM103588.1, OM103589.1, OM103590.1"
,betacoronavirus cororeum,9397,3418613,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus cororeum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2024,8,9,2015,,,,,2024-08-09,2015,PP273174.1
,betacoronavirus gravedinis,77236,3433757,TRUE,TRUE,TRUE,myonycteris,pteropodidae,chiroptera,mammalia,Myonycteris,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus gravedinis,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2022,5,1,2016,2,28,,,2022-05-01,2016-02-28,ON313744.1
,betacoronavirus pandemicum,49442,3418604,TRUE,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2018,12,31,2007,8,,,,2018-12-31,2007-08,KY352407.1
,betacoronavirus pandemicum,49442,3418604,TRUE,TRUE,TRUE,rhinolophus,rhinolophidae,chiroptera,mammalia,Rhinolophus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2020,6,1,,,,,,2020-06-01,,"MN312651.1, MN312655.1"
,betacoronavirus pandemicum,58068,3418604,TRUE,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Betacoronavirus pandemicum,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2018,2,3,2016,6,17,,,2018-02-03,2016-06-17,MG000872.1
