Host,Virus,HostTaxID,VirusTaxID,HostNCBIResolved,VirusNCBIResolved,ICTVRatified,HostGenus,HostFamily,HostOrder,HostClass,HostOriginal,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusOriginal,HostFlagID,DetectionMethod,DetectionOriginal,Database,DatabaseVersion,PublicationYear,ReferenceText,PMID,ReleaseYear,ReleaseMonth,ReleaseDay,CollectionYear,CollectionMonth,CollectionDay,AssocID,DatabaseDOI,Release_Date,Collection_Date,NCBIAccession
,alphacoronavirus chicagoense,58068,3433756,TRUE,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus chicagoense,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2016,12,6,2009,6,20,,,2016-12-06,2009-06-20,KY073747.1
,alphacoronavirus chicagoense,58068,3433756,TRUE,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus chicagoense,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2017,11,14,2012,7,30,,,2017-11-14,2012-07-30,KX284928.1
,alphacoronavirus chicagoense,58068,3433756,TRUE,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus chicagoense,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2017,11,14,2013,5,30,,,2017-11-14,2013-05-30,KX285804.1
,alphacoronavirus chicagoense,58068,3433756,TRUE,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus chicagoense,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2018,2,3,2016,6,17,,,2018-02-03,2016-06-17,"MG000865.1, MG000866.1, MG000867.1, MG000868.1, MG000869.1, MG000870.1, MG000871.1"
,alphacoronavirus chicagoense,58068,3433756,TRUE,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus chicagoense,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2022,5,29,2016,11,16,,,2022-05-29,2016-11-16,MT125561.1
,alphacoronavirus chicagoense,58068,3433756,TRUE,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus chicagoense,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2022,5,29,2016,5,31,,,2022-05-29,2016-05-31,MT221710.1
,alphacoronavirus chicagoense,58068,3433756,TRUE,TRUE,TRUE,hipposideros,hipposideridae,chiroptera,mammalia,Hipposideros,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus chicagoense,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2022,5,29,2017,5,23,,,2022-05-29,2017-05-23,MT082161.1
,alphacoronavirus porci,9397,3433789,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus porci,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2023,4,4,2017,10,,,,2023-04-04,2017-10,OP873074.1
,alphacoronavirus pusilli,9432,3433780,TRUE,TRUE,TRUE,miniopterus,miniopteridae,chiroptera,mammalia,Miniopterus,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus pusilli,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2005,2,9,,,,,,2005-02-09,,"AY864196.1, AY864197.1, AY864198.1"
,alphacoronavirus rhinolophi,9397,3433795,TRUE,TRUE,TRUE,,,chiroptera,mammalia,Chiroptera,alphacoronavirus,coronaviridae,nidovirales,pisoniviricetes,Alphacoronavirus rhinolophi,FALSE,PCR/Sequencing,GenBank,GenBank,https://ftp.ncbi.nlm.nih.gov/genomes/Viruses/AllNuclMetadata/ accessed on 2025-09-16,,,,2018,4,11,,,,,,2018-04-11,,MF094702.1
