VirusTaxID,Common Name,Virus,VirusGenus,VirusFamily,VirusOrder,VirusClass,VirusNCBIResolved,ICTVRatified,Database
1805463,,bat betacoronavirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
3061635,Thomas's horseshoe bat coronavirus,rhinolophus thomasi bat coronavirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
3068888,Thai horseshoe bat sarbecovirus,rhinolophus siamensis bat sarbecovirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
2833184,,sarbecovirus sp.,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
864596,Blasius's horseshoe bat sarbecovirus,bat coronavirus bm48-31/bgr/2008,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,predict
3068538,,horseshoe bat sarbecovirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
694009,SARS-CoV-2,betacoronavirus pandemicum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,True,eid2; shaw; hp3
3433764,Pratt's roundleaf bat coronavirus,betacoronavirus hipposideri,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,True,genbank
989337,,zaria bat coronavirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank; predict
2833022,,nobecovirus sp.,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
2913444,Madagascar rousette fruit bat nobecovirus,rousettus madagascariensis nobecovirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
3418614,Eidolon bat nobecovirus,betacoronavirus eidoli,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,True,genbank
3418613,Rousettus bat coronavirus,betacoronavirus cororeum,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,True,genbank
2913443,Pteropus fruit bat nobecovirus,pteropus rufus nobecovirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
1335626,MERS-CoV,middle east respiratory syndrome-related coronavirus,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,predict
2832974,,merbecovirus sp.,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
3433775,Pipistrellus bat coronavirus HKU5,betacoronavirus pipistrelli,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,True,genbank
1928434,,betacoronavirus sp.,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,False,genbank
3433757,Human/Cattle coronavirus,betacoronavirus gravedinis,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,True,genbank
3418615,Rousettus fruit bat coronavirus HKU9,betacoronavirus rousetti,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,True,genbank
3433776,Bamboo bat coronavirus (Ty-BatCoV-HKU4),betacoronavirus tylonycteridis,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,True,True,genbank
