Virus,Host
virus_11137,host_249020
virus_11137,host_302402
virus_693998,host_519037
virus_693998,host_59479
virus_693998,host_196889
virus_693998,host_188571
virus_693998,host_89399
virus_693999,host_153297
virus_694000,host_438766
virus_694000,host_258934
virus_694000,host_9433
virus_694001,host_438766
virus_694001,host_258934
virus_694006,host_9408
virus_694007,host_258959
virus_694008,host_105295
virus_694008,host_59474
virus_694009,host_59477
virus_694009,host_519037
virus_694009,host_196296
virus_694009,host_59479
virus_694009,host_196889
virus_694009,host_342862
virus_694009,host_188571
virus_694009,host_159858
virus_694009,host_89399
virus_694009,host_9408
